,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",24156,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",24156,7,8.760719392460816e-06,0.74,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",24156,7,1.6937191027623e-05,0.66,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",24156,7,0.00033678197366758934,0.37,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",24156,7,4.6119565035378205e-06,0.67,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",24156,7,0.0005502477513349381,0.51,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",24156,7,2.6406585004787635e-05,0.56,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",24156,7,9.834993602229481e-06,0.79,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",24156,7,3.144355091363145e-05,0.53,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",24156,7,8.226139309911247e-06,0.74,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",24156,7,9.443587670052468e-05,0.22,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",24156,7,0.0007871005510368188,0.26,0.9999999999999996
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",24156,7,0.00037636078713958334,0.46,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",24156,7,0.0006793057321002203,0.31,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",24156,7,0.002944257241408276,0.57,0.18457540826348573
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",24156,7,9.894170224399825e-05,1.0,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",24156,7,0.003993442864936388,0.69,0.00018500378019681296
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",24156,7,0.000604406781132539,0.17,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",24156,7,0.0007176745099152261,0.14,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",24156,7,0.0003335180291952126,0.73,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",24156,7,0.0004789280549134608,0.33,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",24156,7,0.0013167654787296236,0.03,0.9999996635470915
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",24156,7,0.004779732142508615,0.29,6.802790353255261e-08
23,23,"('Response', 'Anger')","('Other', 'Unknown')",24156,7,0.00029639254771831496,0.05,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",24156,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",24156,7,9.734375632240471e-05,0.01,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",24156,7,0.0002196408024764687,0.06,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",24156,7,0.00012718419030574774,0.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",24156,7,0.0009575014518208746,0.0,0.9999999999978021
29,29,"('Response', 'Anger')","('Response', 'Fear')",24156,7,0.00014800927063367863,0.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",24156,7,0.0003074026983769671,0.01,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",24156,7,0.0003434891318155984,0.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",24156,7,0.00010209094504135407,0.02,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",24156,7,0.00038263911310393306,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",24156,7,0.000920980751439166,0.0,0.9999999999995682
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",24156,7,7.76901045541521e-05,0.54,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",24156,7,0.00031807652842461714,0.24,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",24156,7,0.0012997128797521541,0.25,0.9999997820427537
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",24156,7,0.00033213252480805244,0.01,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",24156,7,0.0017063440440346783,0.69,0.9993995122496898
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",24156,7,7.333749471607806e-05,0.74,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",24156,7,0.0001146376150236335,0.65,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",24156,7,5.786052147406703e-05,0.81,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",24156,7,9.339311180172279e-05,0.63,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",24156,7,0.0001340630676862186,0.89,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",24156,7,0.0017698353844868644,0.82,0.9985754641753681
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",24156,7,0.0002230608742565908,0.15,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",24156,7,7.605705084779048e-05,0.02,1.0
