,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",13969,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",13969,7,2.615845595085746e-05,0.87,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",13969,7,6.008021788677044e-05,0.17,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",13969,7,6.767729201856986e-05,0.84,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",13969,7,1.3110902624520623e-05,0.48,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",13969,7,0.0003823416392620537,0.37,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",13969,7,2.6097080078986645e-05,0.95,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",13969,7,6.548287998869172e-06,0.66,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",13969,7,2.6097080078986645e-05,0.95,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",13969,7,5.198045082095655e-05,0.18,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",13969,7,1.6359298364124325e-05,0.74,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",13969,7,0.0004319627529796267,0.52,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",13969,7,0.0011571263878591529,0.84,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",13969,7,0.001633736043595795,0.2,0.9999999999987516
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",13969,7,0.007121224557779733,0.26,6.070842418870459e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",13969,7,0.0005735500235887175,0.91,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",13969,7,0.008377481787598746,0.22,3.3115818753870485e-08
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",13969,7,0.0021815006705651827,0.21,0.999999921367447
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",13969,7,0.0007940385690212075,0.52,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",13969,7,0.0012501638819764562,0.34,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",13969,7,0.0011680899186771083,0.1,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",13969,7,0.0008634371323273158,0.85,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",13969,7,0.007911731942119655,0.46,6.42238236592263e-07
23,23,"('Response', 'Anger')","('Other', 'Unknown')",13969,7,0.0001294647830693864,0.2,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",13969,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",13969,7,4.016719863642641e-07,1.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",13969,7,0.0001836150216411142,0.01,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",13969,7,1.4836155649518077e-07,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",13969,7,0.0002259139281256701,0.07,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",13969,7,0.000114259325286012,0.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",13969,7,1.1857432827690873e-07,1.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",13969,7,0.000114259325286012,0.01,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",13969,7,3.7210601309293244e-07,1.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",13969,7,0.0005194804465641419,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",13969,7,0.0004187935308552065,0.01,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",13969,7,8.338364828701798e-05,0.4,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",13969,7,7.385373515802269e-05,0.44,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",13969,7,0.00044949772466078866,0.74,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",13969,7,4.5917398685161566e-05,0.49,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",13969,7,0.0004894368411034422,0.82,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",13969,7,8.614719929919248e-05,0.74,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",13969,7,3.330954969805379e-05,1.0,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",13969,7,0.00013282309649974438,0.23,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",13969,7,3.751129355526384e-05,0.56,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",13969,7,6.17293826937242e-05,0.63,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",13969,7,0.0005393695427060201,0.81,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",13969,7,5.8459887890584796e-05,0.21,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",13969,7,0.00016862404297464132,0.02,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",13969,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",13969,7,0.0004237044187456939,0.0,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",13969,7,2.3740405932165986e-07,1.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",13969,7,0.0001566634583062615,0.07,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",13969,7,3.2530751906733825e-05,0.01,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",13969,7,1.0374881616292597e-07,1.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",13969,7,1.528793543213665e-05,0.02,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",13969,7,4.4654329865019183e-07,1.0,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",13969,7,2.597912561888366e-07,1.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",13969,7,0.00013620334773369887,0.04,1.0
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",13969,7,8.19144901574695e-05,0.4,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",13969,7,6.736183088361402e-05,0.72,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",13969,7,0.0004472438515516484,0.77,1.0
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",13969,7,4.3610055991517565e-05,0.73,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",13969,7,0.0006324723008234469,0.34,1.0
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",13969,7,8.854307486013678e-05,0.68,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",13969,7,3.532629660745963e-05,0.98,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",13969,7,5.462514970889064e-05,0.73,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",13969,7,3.751129355526384e-05,0.6,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",13969,7,6.546023510169161e-05,0.58,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",13969,7,0.0006002844105158078,0.46,1.0
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",13969,7,0.00014233095475576734,0.74,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",13969,7,0.000721972163423619,0.0,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",13969,7,3.285409439493303e-06,1.0,1.0
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",13969,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",13969,7,0.0003514593259184576,0.0,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",13969,7,0.0007398361901965665,0.01,1.0
75,75,"('Response', 'Arousal')","('Response', 'Fear')",13969,7,0.0007367842315743482,0.0,1.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",13969,7,8.165758297595636e-07,1.0,1.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",13969,7,0.0007265724481154531,0.0,1.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",13969,7,0.0002539858678254109,0.0,1.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",13969,7,0.0008009690534555665,0.0,1.0
80,80,"('Response', 'Arousal')","('Response', 'Valence')",13969,7,0.0005945878754278289,0.02,1.0
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",13969,7,0.00023435728476085542,0.94,1.0
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",13969,7,0.00013788754292926,0.98,1.0
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",13969,7,0.001666229935215677,1.0,0.999999999997173
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",13969,7,8.585173246741746e-05,0.93,1.0
