,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",26972,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",26972,7,0.0002173972508345607,0.06,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",26972,7,2.5085020649647375e-05,0.83,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",26972,7,0.0005284738661684454,0.12,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",26972,7,3.6992120091279336e-05,0.44,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",26972,7,0.0009128673962431678,0.02,0.9999999999719517
6,6,"('Other', 'Unknown')","('Response', 'Fear')",26972,7,2.2559808670559754e-05,0.68,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",26972,7,0.00016246031996466608,0.12,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",26972,7,0.00015554992669,0.13,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",26972,7,0.00026456851727380383,0.04,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",26972,7,0.00017241804434717947,0.17,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",26972,7,0.000956665772021961,0.08,0.9999999998221415
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",26972,7,0.0010000572198215494,0.38,0.9999999990281424
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",26972,7,0.0014480128131656143,0.0,0.9998466241163034
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",26972,7,0.006046724881206048,0.0,0.0
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",26972,7,0.0005197678797049161,0.63,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",26972,7,0.007123508637211937,0.0,0.0
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",26972,7,0.0016308533402644037,0.0,0.9973026227924221
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",26972,7,0.0006913322620211669,0.39,0.9999999999999998
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",26972,7,0.0008862109945907729,0.46,0.9999999999915101
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",26972,7,0.0008761645288386211,0.11,0.9999999999946682
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",26972,7,0.0008750989423827415,0.73,0.9999999999949273
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",26972,7,0.005966296004216573,0.0,0.0
23,23,"('Response', 'Anger')","('Other', 'Unknown')",26972,7,5.635727928087233e-05,0.79,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",26972,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",26972,7,3.902013761995108e-05,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",26972,7,0.00028179132449760824,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",26972,7,2.0722345658889348e-07,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",26972,7,0.0006900825435424083,0.0,0.9999999999999998
29,29,"('Response', 'Anger')","('Response', 'Fear')",26972,7,4.193534274849184e-07,1.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",26972,7,3.585035977260576e-05,0.03,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",26972,7,4.645919052809839e-05,0.03,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",26972,7,3.317748394923927e-05,0.01,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",26972,7,5.232047808101437e-05,0.04,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",26972,7,0.0007073658965585856,0.0,0.9999999999999994
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",26972,7,0.00015551100600025777,0.33,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",26972,7,6.0640449520386736e-05,0.68,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",26972,7,0.0004628489959495027,0.69,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",26972,7,5.694307834302949e-05,0.31,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",26972,7,0.00042445551799063635,1.0,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",26972,7,0.00011064035211140587,0.45,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",26972,7,0.00016317383935992604,0.12,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",26972,7,0.0003388979553932344,0.01,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",26972,7,9.883850320404749e-05,0.24,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",26972,7,4.440434214812089e-05,0.86,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",26972,7,0.0006661387840180625,0.71,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",26972,7,6.67408956375207e-05,0.91,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",26972,7,0.0001827549395879208,0.01,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",26972,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",26972,7,0.0009623105380728274,0.0,0.9999999997765767
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",26972,7,1.236918491164752e-05,0.03,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",26972,7,0.0003788167467740767,0.0,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",26972,7,0.00015420181733390877,0.01,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",26972,7,0.0002025110760093127,0.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",26972,7,2.9480428780945627e-05,0.01,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",26972,7,5.270824102585753e-05,0.02,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",26972,7,0.0002641440989838036,0.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",26972,7,0.0006690311353307032,0.0,1.0
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",26972,7,0.00011239617419662147,0.5,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",26972,7,0.00012952332911745596,0.5,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",26972,7,0.0005046282824623183,0.93,1.0
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",26972,7,6.859959732185214e-05,0.61,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",26972,7,0.0007366691553596539,0.95,0.9999999999999968
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",26972,7,0.00012633520091036423,0.63,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",26972,7,9.413185918764498e-05,0.41,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",26972,7,0.00011377236858085715,0.57,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",26972,7,3.547687076589474e-05,0.72,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",26972,7,0.0001317135423706334,0.56,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",26972,7,0.0008132501180398214,1.0,0.9999999999997626
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",26972,7,0.00021982206020378488,0.98,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",26972,7,0.00046880587821498666,0.0,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",26972,7,0.0010263321097687742,0.0,0.9999999974377282
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",26972,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",26972,7,1.4836996825558717e-05,0.14,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",26972,7,0.000785603830693797,0.0,0.9999999999999463
75,75,"('Response', 'Arousal')","('Response', 'Fear')",26972,7,0.0004187179643833924,0.0,1.0
