,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",23317,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",23317,7,0.00011530509939200436,0.27,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",23317,7,0.00014888977439261113,0.33,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",23317,7,0.00038635491432541914,0.93,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",23317,7,6.199863345310332e-06,0.77,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",23317,7,0.0011953496054150157,0.62,0.9999999967070429
6,6,"('Other', 'Unknown')","('Response', 'Fear')",23317,7,3.173824264609706e-05,0.64,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",23317,7,4.645894078776951e-05,0.64,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",23317,7,0.00014687633782398612,0.2,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",23317,7,0.0001553689413853503,0.21,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",23317,7,0.00021156935388090556,0.28,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",23317,7,0.0011185832968098673,0.96,0.9999999997308052
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",23317,7,0.0004137885847190827,0.42,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",23317,7,0.0008910785196064798,0.1,0.9999999999999771
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",23317,7,0.0028620991315274663,0.71,0.35334955063957163
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",23317,7,0.00021376217139929034,0.65,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",23317,7,0.0040944229215436586,0.81,0.00026501861714178787
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",23317,7,0.0005105283739514493,0.28,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",23317,7,0.0004181249305412616,0.68,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",23317,7,0.00032935231353778806,0.74,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",23317,7,0.00033211012570025987,0.6,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",23317,7,0.0006288115357742513,0.72,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",23317,7,0.004852647546129473,0.36,1.9628310987673814e-07
23,23,"('Response', 'Anger')","('Other', 'Unknown')",23317,7,0.00022207935384898275,0.36,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",23317,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",23317,7,0.0006637582893695205,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",23317,7,0.0013270863630148086,0.0,0.9999998664083901
27,27,"('Response', 'Anger')","('Response', 'Disgust')",23317,7,0.00010405969725301245,0.01,1.0
