,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",10105,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",10105,7,0.00010924522604740709,0.67,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",10105,7,0.00020686549889080045,0.26,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",10105,7,0.0007666663866827886,0.45,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",10105,7,7.852103701823013e-05,0.13,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",10105,7,0.00045621408623400283,0.94,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",10105,7,0.00012551588476479393,0.42,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",10105,7,0.00015560942558442414,0.33,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",10105,7,1.1154532184832116e-07,0.97,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",10105,7,1.8639626931563042e-05,0.68,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",10105,7,0.0001571319825299364,0.25,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",10105,7,0.0014976713906572727,0.48,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",10105,7,0.0006973308487852162,0.97,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",10105,7,0.0015914874238854237,0.32,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",10105,7,0.008557803317208755,0.15,0.005092708809284363
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",10105,7,0.0009286831211163914,0.42,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",10105,7,0.012433965216222342,0.04,4.974997080964272e-10
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",10105,7,0.0012798603313734242,0.63,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",10105,7,0.0014083778039425557,0.53,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",10105,7,0.0015104793509053177,0.58,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",10105,7,0.001103818912395377,0.42,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",10105,7,0.0016883291322838353,0.42,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",10105,7,0.012148748206147928,0.17,2.1012138695652993e-09
23,23,"('Response', 'Anger')","('Other', 'Unknown')",10105,7,0.00011493420342572082,0.84,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",10105,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",10105,7,0.0005171638252868023,0.01,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",10105,7,0.000686267359460754,0.01,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",10105,7,1.1407877318718398e-06,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",10105,7,0.0004500932925722984,0.04,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",10105,7,1.3752596242537883e-06,1.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",10105,7,0.0004175202364734116,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",10105,7,1.2909239837827212e-06,1.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",10105,7,1.569915103369484e-06,1.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",10105,7,2.01855531226364e-05,0.05,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",10105,7,0.0006971264237023148,0.01,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",10105,7,0.00022791965722920786,0.25,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",10105,7,0.00021781121344945632,0.28,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",10105,7,0.0009423719680691216,0.45,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",10105,7,4.9747670188207424e-05,0.97,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",10105,7,0.001200136873075912,0.58,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",10105,7,0.000415700940728009,0.18,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",10105,7,0.0001500077894003144,0.26,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",10105,7,0.00012909386729459068,0.6,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",10105,7,7.735302159236955e-05,0.49,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",10105,7,3.2082428333982985e-06,1.0,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",10105,7,0.0010350246356951882,0.97,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",10105,7,0.0004747141019893662,0.25,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",10105,7,0.00039540625443011045,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",10105,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",10105,7,0.0005791388067250766,0.01,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",10105,7,2.710859677754289e-06,1.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",10105,7,0.0006367739799729684,0.03,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",10105,7,0.0005383254445495092,0.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",10105,7,0.0017996700644942211,0.0,0.9999999999999999
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",10105,7,0.0009281282117460758,0.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",10105,7,0.0010798443607366712,0.0,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",10105,7,0.0011558568333720493,0.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",10105,7,0.0007951769366624991,0.02,1.0
