,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",16525,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",16525,7,5.80507188715528e-05,0.47,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",16525,7,7.926227468696013e-06,0.88,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",16525,7,0.00014270270901135012,0.73,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",16525,7,3.885330764576374e-05,0.56,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",16525,7,0.0004904004694705502,0.66,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",16525,7,9.965394510514812e-05,0.35,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",16525,7,6.569559318000733e-06,0.99,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",16525,7,0.00010923211408507246,0.51,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",16525,7,6.926490232165737e-06,0.94,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",16525,7,5.795439474251468e-05,0.56,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",16525,7,0.0005135597806944786,0.82,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",16525,7,0.00031729072169362865,0.95,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",16525,7,0.0006333413864875561,0.89,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",16525,7,0.0040649875392637464,0.52,0.33416735174714196
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",16525,7,0.0006555853542004853,0.11,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",16525,7,0.006030467575874685,0.45,5.656926425090525e-05
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",16525,7,0.00033214765462437107,0.98,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",16525,7,0.0008496604389942,0.54,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",16525,7,0.0006715377596337954,0.6,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",16525,7,0.0003437084131129008,0.83,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",16525,7,0.0009087799219222425,0.34,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",16525,7,0.005622397758410552,0.94,0.0006503949647032048
23,23,"('Response', 'Anger')","('Other', 'Unknown')",16525,7,3.5147135037386615e-05,0.91,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",16525,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",16525,7,1.7722479494952347e-05,0.06,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",16525,7,6.500022990458401e-05,0.18,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",16525,7,1.7085863812068904e-06,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",16525,7,0.0002552129273002611,0.1,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",16525,7,5.796114244269244e-05,0.08,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",16525,7,1.68523294263981e-05,0.13,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",16525,7,7.429531034112866e-05,0.07,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",16525,7,1.862482677630755e-05,0.03,1.0
