,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",62507,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",62507,7,1.331419039199202e-05,0.24,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",62507,7,2.7992816857777643e-06,0.64,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",62507,7,7.660062172530178e-05,0.12,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",62507,7,7.711608388052638e-06,0.56,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",62507,7,2.3825448514476914e-05,0.98,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",62507,7,1.5675385310255532e-05,0.4,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",62507,7,3.276657537317472e-06,0.85,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",62507,7,1.9011223899728325e-05,0.37,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",62507,7,5.02699867407183e-06,0.64,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",62507,7,6.1890619152437055e-06,0.61,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",62507,7,4.497464166047905e-05,0.9,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",62507,7,0.0007184707196391305,0.06,0.9957803345251486
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",62507,7,0.0012801341080659106,0.0,0.028989058183587657
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",62507,7,0.0015838305826854327,0.49,7.169258186567884e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",62507,7,0.0003168499362403192,0.5,0.9999999999999972
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",62507,7,0.0011389988146996897,0.68,0.1819003883346001
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",62507,7,0.0006249734628161263,0.79,0.9998450475513854
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",62507,7,0.000908447580549719,0.08,0.8151537263166211
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",62507,7,0.0007044386669134107,0.59,0.9972329460920041
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",62507,7,0.000584616918053083,0.16,0.9999752708279561
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",62507,7,0.0014261883368115542,0.0,0.002216676332566281
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",62507,7,0.0007789202755225807,0.21,0.9798436105513477
23,23,"('Response', 'Anger')","('Other', 'Unknown')",62507,7,5.772837100415559e-06,0.96,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",62507,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",62507,7,6.874832105209325e-05,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",62507,7,0.00011119705519351062,0.01,1.0
