,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",4665,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",4665,7,0.00019947949685114908,0.5,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",4665,7,0.00039617710932864466,0.57,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",4665,7,0.0005368463622450712,0.99,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",4665,7,0.00012021915288343819,0.4,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",4665,7,0.0006413979072887953,1.0,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",4665,7,0.00028336293710574717,0.47,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",4665,7,0.0003507883549370645,0.54,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",4665,7,0.00030176749367819255,0.49,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",4665,7,0.00018911910813013336,0.29,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",4665,7,0.000123694753309029,0.93,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",4665,7,0.0009099229643911729,0.99,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",4665,7,0.0009573965565234404,0.57,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",4665,7,0.001997166258651651,0.46,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",4665,7,0.007852903559421672,0.82,0.9999744785035197
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",4665,7,0.00024080380108505557,0.93,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",4665,7,0.012641755579170594,0.74,0.7308031284942169
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",4665,7,0.0016796004522093987,0.48,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",4665,7,0.0026468651468710145,0.05,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",4665,7,0.0008811022533501113,0.9,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",4665,7,0.00035674681732959486,0.85,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",4665,7,0.0012772726688989563,0.95,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",4665,7,0.013987828391757611,0.82,0.426546612137056
23,23,"('Response', 'Anger')","('Other', 'Unknown')",4665,7,0.00041052212353049635,0.28,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",4665,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",4665,7,0.0008593986199939038,0.04,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",4665,7,0.0031425344419066643,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",4665,7,4.733870933295521e-05,0.15,1.0
