,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",12184,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",12184,7,3.2153100801355336e-05,0.84,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",12184,7,0.00010468782734629202,0.49,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",12184,7,0.0003742323232897627,0.56,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",12184,7,4.0129987621281985e-05,0.88,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",12184,7,0.0004937985104756824,0.51,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",12184,7,0.00012484119156053793,0.33,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",12184,7,8.582202346399279e-05,0.32,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",12184,7,1.0121032178888816e-05,0.87,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",12184,7,0.00014081122150606855,0.09,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",12184,7,9.536587592860812e-06,0.95,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",12184,7,0.0007088160425864318,0.39,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",12184,7,0.000833306038592396,0.88,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",12184,7,0.001055958874342489,0.97,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",12184,7,0.005359150372137065,0.95,0.4215647894058536
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",12184,7,0.000506492948877034,0.66,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",12184,7,0.0074737700699029,0.9,0.0012133245245333768
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",12184,7,0.001520760556956558,0.88,0.9999999999999999
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",12184,7,0.0008069516865212173,0.87,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",12184,7,0.0011478395685753714,0.89,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",12184,7,0.0006876500419623221,0.71,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",12184,7,0.0007773350137596061,1.0,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",12184,7,0.0071512195123113135,0.97,0.004177815652595229
23,23,"('Response', 'Anger')","('Other', 'Unknown')",12184,7,5.959470449295372e-05,0.61,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",12184,7,0.0,1.0,1.0
