,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",24603,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",24603,7,2.4985844803513127e-05,0.64,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",24603,7,8.302745732499744e-05,0.42,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",24603,7,0.00019368043889468674,0.9,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",24603,7,2.505826056245954e-06,0.92,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",24603,7,0.0003491570792779379,0.98,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",24603,7,6.202876319646068e-05,0.58,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",24603,7,4.9889636144328664e-05,0.71,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",24603,7,7.308628542070576e-05,0.32,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",24603,7,1.499361063044905e-05,0.67,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",24603,7,9.660332301952048e-05,0.47,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",24603,7,0.0004266927329873645,1.0,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",24603,7,0.00015544106189717822,1.0,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",24603,7,0.00042468046883187255,0.96,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",24603,7,0.0033124550472110686,0.26,0.020043484731481875
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",24603,7,0.00039374503925278573,0.28,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",24603,7,0.003692481991300569,0.88,0.001290380026660265
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",24603,7,0.0003528131464607576,0.95,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",24603,7,0.0005797386008575278,0.81,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",24603,7,0.0006546475439640286,0.29,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",24603,7,0.00031851293624147607,0.72,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",24603,7,0.00102184736360986,0.81,0.9999999999358566
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",24603,7,0.004352913265514974,0.51,2.7918084343214744e-06
23,23,"('Response', 'Anger')","('Other', 'Unknown')",24603,7,2.2097137821477015e-05,0.93,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",24603,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",24603,7,0.000118621857555113,0.01,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",24603,7,0.00018905320596567364,0.03,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",24603,7,9.389950323552579e-06,0.07,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",24603,7,0.0005128617125698575,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",24603,7,3.3840470410231264e-05,0.06,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",24603,7,2.0456693087508e-05,0.08,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",24603,7,1.344888291183318e-06,1.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",24603,7,1.6224799698750043e-05,0.06,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",24603,7,4.6236319971727624e-05,0.18,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",24603,7,0.0006852509717913148,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",24603,7,9.743861611876593e-05,0.39,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",24603,7,0.0001920625681787125,0.38,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",24603,7,0.0005585539141083047,0.8,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",24603,7,6.95672489797787e-05,0.16,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",24603,7,0.0008383374643576592,0.98,0.9999999999999835
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",24603,7,0.00010902330705071003,0.41,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",24603,7,0.00030741622259909576,0.15,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",24603,7,9.619504187644911e-05,0.47,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",24603,7,0.00012799838621337168,0.29,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",24603,7,0.0003901582979153641,0.2,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",24603,7,0.001046193270614859,0.83,0.9999999998385912
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",24603,7,0.00010308849636429186,0.61,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",24603,7,5.338597104938075e-06,1.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",24603,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",24603,7,0.00020114525219274925,0.11,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",24603,7,2.5737168659846568e-05,0.07,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",24603,7,0.0004726653309564016,0.0,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",24603,7,8.447847906841093e-05,0.03,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",24603,7,4.666255751929055e-05,0.06,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",24603,7,7.1281650227387095e-06,0.32,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",24603,7,2.627208347407462e-05,0.15,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",24603,7,0.00015236711854592477,0.04,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",24603,7,0.000733108792066342,0.0,1.0
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",24603,7,6.677121492917217e-05,0.77,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",24603,7,0.0003850015661959038,0.21,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",24603,7,0.001009968986873704,0.69,0.9999999999596388
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",24603,7,0.0001069681462320931,0.41,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",24603,7,0.001312222081782161,0.99,0.9999994510794182
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",24603,7,9.183701397876156e-05,0.81,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",24603,7,0.00023364518797780361,0.48,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",24603,7,3.535884239703075e-05,1.0,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",24603,7,7.625399603563185e-05,0.64,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",24603,7,0.0002550547381401532,0.84,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",24603,7,0.0014082183800880493,1.0,0.9999949047118316
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",24603,7,0.00020012699631066853,0.95,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",24603,7,0.00038636226547306233,0.0,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",24603,7,0.0008745400670376977,0.0,0.999999999999896
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",24603,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",24603,7,0.00047779510427398706,0.0,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",24603,7,0.001170983088927751,0.0,0.9999999890064212
75,75,"('Response', 'Arousal')","('Response', 'Fear')",24603,7,0.0008405363540252458,0.0,0.9999999999999813
76,76,"('Response', 'Arousal')","('Response', 'Joy')",24603,7,0.0007155798254688853,0.0,1.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",24603,7,0.0012834440561867607,0.0,0.9999997359169374
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",24603,7,0.0003491269652626883,0.01,1.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",24603,7,0.0008714172693635129,0.0,0.9999999999999108
80,80,"('Response', 'Arousal')","('Response', 'Valence')",24603,7,0.001263560859960373,0.0,0.9999998436292437
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",24603,7,0.0005597422285127453,0.04,1.0
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",24603,7,0.0003664324997508137,0.83,1.0
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",24603,7,0.0017315146213752305,0.96,0.9986871961856225
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",24603,7,0.0003762172276631498,0.09,1.0
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",24603,7,0.002829518970985345,0.98,0.2353489275453342
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",24603,7,0.0005085753511126307,0.15,1.0
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",24603,7,0.00034534505901370727,0.85,1.0
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",24603,7,0.0003395106853490403,0.45,1.0
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",24603,7,0.00015805597005543416,0.83,1.0
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",24603,7,0.0005935914406651757,0.86,1.0
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",24603,7,0.0031757199298564163,0.96,0.04555438266885903
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",24603,7,2.818082263403617e-05,0.92,1.0
93,93,"('Response', 'Disgust')","('Response', 'Anger')",24603,7,2.46082471065188e-07,1.0,1.0
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",24603,7,1.4448644132038235e-05,0.13,1.0
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",24603,7,8.955459660059022e-05,0.06,1.0
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",24603,7,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",24603,7,0.00041163621839687345,0.01,1.0
98,98,"('Response', 'Disgust')","('Response', 'Fear')",24603,7,0.00017044563501566418,0.0,1.0
99,99,"('Response', 'Disgust')","('Response', 'Joy')",24603,7,2.6236948967185263e-05,0.07,1.0
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",24603,7,8.161281291538928e-05,0.03,1.0
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",24603,7,1.3130796675789015e-05,0.06,1.0
102,102,"('Response', 'Disgust')","('Response', 'Trust')",24603,7,2.0599582019297165e-05,0.11,1.0
103,103,"('Response', 'Disgust')","('Response', 'Valence')",24603,7,0.00046731700554108725,0.0,1.0
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",24603,7,5.8489344110368565e-05,0.41,1.0
105,105,"('Response', 'Disgust')","('Stimulus', 'Anticipation')",24603,7,9.688139586385939e-05,0.57,1.0
106,106,"('Response', 'Disgust')","('Stimulus', 'Arousal')",24603,7,0.00023074422598730522,0.99,1.0
107,107,"('Response', 'Disgust')","('Stimulus', 'Disgust')",24603,7,3.826981667115215e-05,0.2,1.0
108,108,"('Response', 'Disgust')","('Stimulus', 'Dominance')",24603,7,0.00042558236033380433,1.0,1.0
109,109,"('Response', 'Disgust')","('Stimulus', 'Fear')",24603,7,6.76866339938953e-05,0.37,1.0
110,110,"('Response', 'Disgust')","('Stimulus', 'Joy')",24603,7,9.82739401880769e-05,0.57,1.0
111,111,"('Response', 'Disgust')","('Stimulus', 'Sadness')",24603,7,6.15652635797028e-05,0.33,1.0
112,112,"('Response', 'Disgust')","('Stimulus', 'Surprise')",24603,7,5.600030490693805e-05,0.49,1.0
113,113,"('Response', 'Disgust')","('Stimulus', 'Trust')",24603,7,0.00014108800778542404,0.78,1.0
114,114,"('Response', 'Disgust')","('Stimulus', 'Valence')",24603,7,0.0005759522406324582,0.95,1.0
115,115,"('Response', 'Dominance')","('Other', 'Unknown')",24603,7,0.0001699623412284275,0.99,1.0
116,116,"('Response', 'Dominance')","('Response', 'Anger')",24603,7,0.0006839738325922633,0.0,1.0
117,117,"('Response', 'Dominance')","('Response', 'Anticipation')",24603,7,0.0009857562418633503,0.0,0.9999999999847272
118,118,"('Response', 'Dominance')","('Response', 'Arousal')",24603,7,0.0011139801147073585,0.0,0.9999999982337219
119,119,"('Response', 'Dominance')","('Response', 'Disgust')",24603,7,0.0007015499635665989,0.0,1.0
120,120,"('Response', 'Dominance')","('Response', 'Dominance')",24603,7,0.0,1.0,1.0
