,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",34460,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",34460,7,4.694038204347936e-05,0.41,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",34460,7,7.653674484315712e-05,0.34,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",34460,7,6.01969805824542e-05,0.97,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",34460,7,2.5957750204291097e-05,0.48,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",34460,7,0.00020439788141789108,0.88,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",34460,7,6.174958433469244e-05,0.27,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",34460,7,3.665165398380041e-05,0.49,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",34460,7,5.073728731668297e-05,0.41,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",34460,7,3.85778560235056e-05,0.5,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",34460,7,6.73884371132934e-05,0.43,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",34460,7,0.0002435428460773416,0.93,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",34460,7,0.0004554293020655611,0.28,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",34460,7,0.0005233579959570124,0.5,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",34460,7,0.0020530010513203183,0.43,0.1962708801760128
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",34460,7,0.0003017141744075414,0.14,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",34460,7,0.0026498583421919616,0.74,0.0011036839497294837
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",34460,7,0.0006638877321635032,0.23,0.9999999999986001
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",34460,7,0.00047556417814278784,0.18,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",34460,7,0.00041058305250331496,0.4,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",34460,7,0.00017599529583138724,0.77,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",34460,7,0.0005186852237951215,0.35,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",34460,7,0.0029758930167933582,0.49,1.806992995345702e-05
23,23,"('Response', 'Anger')","('Other', 'Unknown')",34460,7,3.1385754113721564e-06,1.0,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",34460,7,0.0,1.0,1.0
