,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",28631,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",28631,7,9.671038700412708e-06,0.75,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",28631,7,8.088148744632077e-06,0.89,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",28631,7,0.0003168476926625765,0.37,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",28631,7,0.00015613255630069877,0.04,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",28631,7,0.0005176422760230729,0.16,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",28631,7,2.2781471639715365e-05,0.39,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",28631,7,1.0432647351680303e-05,0.88,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",28631,7,1.3151111390097206e-05,0.55,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",28631,7,6.720420403873178e-05,0.18,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",28631,7,1.407936830950649e-05,0.75,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",28631,7,0.0005710751893594664,0.27,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",28631,7,0.0005572762537452664,0.41,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",28631,7,0.0009910794787094917,0.08,0.9999999936427185
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",28631,7,0.0029961732016354293,0.47,0.006170777208669431
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",28631,7,0.00029391846774544275,0.65,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",28631,7,0.003901988160643604,0.26,3.7264564922701027e-07
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",28631,7,0.0008330065639454104,0.34,0.9999999999922397
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",28631,7,0.0006498272123138196,0.64,0.9999999999999999
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",28631,7,0.0007731955151321415,0.12,0.9999999999996492
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",28631,7,0.00034436018065354967,0.79,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",28631,7,0.0007654394870954403,0.82,0.9999999999997714
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",28631,7,0.0037555969469240625,0.48,2.3198113821010224e-06
23,23,"('Response', 'Anger')","('Other', 'Unknown')",28631,7,3.266483522361401e-05,0.8,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",28631,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",28631,7,0.0004116414748361266,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",28631,7,0.0002874523063292874,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",28631,7,1.769271893424989e-05,0.06,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",28631,7,0.0005634960535371675,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",28631,7,2.9385122980703892e-05,0.1,1.0
