,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",49209,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",49209,7,9.795818178801961e-06,0.82,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",49209,7,1.892124271457089e-05,0.39,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",49209,7,1.589676168766563e-05,0.75,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",49209,7,6.380580516077714e-06,0.78,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",49209,7,4.911518094008727e-05,0.86,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",49209,7,8.134993720205195e-06,0.86,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",49209,7,1.8221015390831717e-05,0.43,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",49209,7,6.606433816055885e-06,0.74,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",49209,7,9.341774589819426e-06,0.97,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",49209,7,2.0035419139999032e-05,0.55,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",49209,7,9.50320382727055e-05,0.72,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",49209,7,0.0003065886663237909,0.82,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",49209,7,0.0006261405026036023,0.77,0.9999998838448251
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",49209,7,0.002604969051237152,0.07,1.3108081287072082e-10
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",49209,7,0.00012800742489874295,0.89,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",49209,7,0.00135686904870694,0.51,0.35131302830959865
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",49209,7,0.00026914887199728534,0.87,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",49209,7,0.000541346192451468,0.84,0.9999999993914505
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",49209,7,0.0003776724548295913,0.62,0.9999999999999999
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",49209,7,0.00026534776738813826,0.79,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",49209,7,0.0010243177582254094,0.46,0.9637311403836435
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",49209,7,0.0003972181488157752,0.41,0.9999999999999984
23,23,"('Response', 'Anger')","('Other', 'Unknown')",49209,7,1.5751601792049223e-05,0.29,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",49209,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",49209,7,0.0001361160824022858,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",49209,7,0.00018947045974556333,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",49209,7,0.00013748144066385223,0.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",49209,7,8.05151532004641e-05,0.02,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",49209,7,1.8999520235356827e-05,0.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",49209,7,0.0001640145538434958,0.0,1.0
