,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",25493,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",25493,7,1.6765886670626803e-05,0.35,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",25493,7,0.0002443548243753055,0.04,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",25493,7,3.214516380378342e-05,0.92,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",25493,7,1.3220453949343065e-05,0.32,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",25493,7,5.0033468808585567e-05,0.99,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",25493,7,2.121973304665896e-05,0.7,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",25493,7,2.820481295638267e-05,0.66,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",25493,7,2.210168710484843e-05,0.44,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",25493,7,2.0272390133242618e-05,0.83,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",25493,7,3.1587804090611845e-05,0.5,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",25493,7,0.00017525536863407452,0.81,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",25493,7,0.00018420847819551237,0.78,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",25493,7,0.00022420233046924418,0.96,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",25493,7,0.0024744858160469442,0.11,0.5301902361655959
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",25493,7,0.00024399635082705243,0.15,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",25493,7,0.003547312303239,0.58,0.001476456410065552
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",25493,7,0.0004281252945269411,0.33,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",25493,7,0.0005830662653840022,0.09,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",25493,7,0.0002506144956203802,0.67,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",25493,7,0.00017303264349615425,0.84,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",25493,7,0.0006634209169597207,0.16,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",25493,7,0.0036692863656985143,0.87,0.0005213443103883053
23,23,"('Response', 'Anger')","('Other', 'Unknown')",25493,7,1.488676417215202e-05,0.87,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",25493,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",25493,7,0.00011723767276834347,0.03,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",25493,7,0.00033654707778554854,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",25493,7,3.6818881812140064e-07,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",25493,7,3.07719526541186e-05,0.21,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",25493,7,6.446899585602835e-07,1.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",25493,7,9.980229634215881e-05,0.02,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",25493,7,6.155163514376144e-07,1.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",25493,7,0.0001482050023804172,0.03,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",25493,7,0.0002786758791999346,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",25493,7,5.0018535186890825e-05,0.27,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",25493,7,4.0135223439107305e-05,0.22,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",25493,7,0.00010498644319284088,0.29,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",25493,7,0.000488096321819608,0.22,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",25493,7,2.952186247130951e-05,0.18,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",25493,7,0.0006656261115477979,0.28,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",25493,7,0.0001397720361907763,0.19,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",25493,7,2.246063661509767e-05,0.79,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",25493,7,2.845647016557977e-05,0.78,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",25493,7,3.501244925011129e-05,0.61,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",25493,7,4.7354628886046484e-05,0.82,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",25493,7,0.0006504717081367796,0.48,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",25493,7,4.349784985900873e-05,0.65,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",25493,7,1.8264047879866868e-06,1.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",25493,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",25493,7,0.00019050593705037736,0.04,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",25493,7,1.5072374085843823e-06,1.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",25493,7,0.00014597604693549819,0.1,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",25493,7,4.401891316408759e-06,0.23,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",25493,7,2.3848958575054737e-05,0.07,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",25493,7,0.00012613729434979862,0.01,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",25493,7,0.00013598916820963702,0.01,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",25493,7,3.0171656029050256e-05,0.1,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",25493,7,0.0001806485621725247,0.15,1.0
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",25493,7,0.00016186485268154718,0.21,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",25493,7,0.000412394920192385,0.04,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",25493,7,0.00073644830207955,0.73,0.9999999999999998
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",25493,7,7.005142520947434e-05,0.31,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",25493,7,0.001280223109058909,0.75,0.9999992188516343
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",25493,7,0.0002401256905183118,0.14,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",25493,7,5.46810363707785e-05,0.75,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",25493,7,0.0003319412135600259,0.06,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",25493,7,2.3681675658288096e-05,0.8,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",25493,7,0.0002643342070445431,0.22,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",25493,7,0.0014171745658381149,0.87,0.9999822904529333
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",25493,7,0.00025485277257166497,0.06,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",25493,7,5.53120164373371e-06,1.0,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",25493,7,6.480745545564724e-05,0.02,1.0
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",25493,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",25493,7,4.5634065655149945e-06,1.0,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",25493,7,0.000884895779621546,0.0,0.999999999999224
75,75,"('Response', 'Arousal')","('Response', 'Fear')",25493,7,9.143873842444087e-06,0.4,1.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",25493,7,7.496834928030722e-05,0.05,1.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",25493,7,7.141438049045223e-05,0.03,1.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",25493,7,8.254651876889646e-05,0.02,1.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",25493,7,0.00023027375768818115,0.02,1.0
80,80,"('Response', 'Arousal')","('Response', 'Valence')",25493,7,0.00061082835771154,0.0,1.0
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",25493,7,0.00017416024776149022,0.37,1.0
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",25493,7,0.00038051897446502846,0.18,1.0
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",25493,7,0.0016329502847196285,0.23,0.9992369135572298
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",25493,7,0.00010003524863544344,0.35,1.0
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",25493,7,0.002076204101578506,0.97,0.92401859528608
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",25493,7,0.00023988461515676808,0.44,1.0
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",25493,7,0.00012890013813475652,0.82,1.0
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",25493,7,0.00023107254382021705,0.58,1.0
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",25493,7,5.5773040287563666e-05,0.95,1.0
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",25493,7,0.0002158750443420029,0.76,1.0
