,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",12164,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",12164,7,9.145627542400747e-05,0.26,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",12164,7,5.649832082319046e-05,0.47,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",12164,7,7.75164040476325e-05,0.97,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",12164,7,4.6320950363898306e-05,0.55,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",12164,7,0.00036510660971776957,0.89,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",12164,7,5.408213040399367e-05,0.58,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",12164,7,0.000104335265641111,0.38,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",12164,7,6.953509993268522e-05,0.33,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",12164,7,8.865204299509334e-05,0.51,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",12164,7,5.748721882426857e-05,0.46,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",12164,7,0.00033605284896006093,1.0,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",12164,7,0.001636345714839509,0.32,0.9999999999999966
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",12164,7,0.003996993014132154,0.02,0.9805017022370281
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",12164,7,0.008188440610999628,0.84,5.798032319126456e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",12164,7,0.0011505001097956587,0.54,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",12164,7,0.006418085542837214,0.25,0.04645654148927647
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",12164,7,0.0020912329376339576,0.15,0.9999999998993073
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",12164,7,0.002111564995801953,0.45,0.9999999998530326
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",12164,7,0.0026551711694407943,0.03,0.9999994491311792
