,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",13045,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",13045,7,2.219478731165391e-05,0.9,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",13045,7,9.404313486791571e-05,0.5,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",13045,7,0.00014641833259392044,0.94,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",13045,7,3.0118315401893908e-05,0.68,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",13045,7,0.0005644248334991011,0.84,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",13045,7,1.5109440054075308e-05,0.82,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",13045,7,6.335360561978293e-05,0.62,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",13045,7,2.4018519119350164e-05,0.82,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",13045,7,2.4280028078511878e-05,0.92,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",13045,7,7.2577363004050714e-06,0.97,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",13045,7,0.000515719714285654,0.93,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",13045,7,0.0012289390992097592,0.05,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",13045,7,0.000508446028975118,0.82,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",13045,7,0.004938911230242745,0.16,0.46384519600132124
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",13045,7,0.00047298439540505096,0.47,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",13045,7,0.006998022147171875,0.44,0.0011240464796339333
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",13045,7,0.000982158026487547,0.21,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",13045,7,0.0010035633680368582,0.12,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",13045,7,0.0007626716678470627,0.54,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",13045,7,0.0011280990525461081,0.03,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",13045,7,0.000730864862937147,0.73,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",13045,7,0.007870192819996085,0.45,1.7479396398512037e-05
23,23,"('Response', 'Anger')","('Other', 'Unknown')",13045,7,7.268539055805555e-05,0.23,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",13045,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",13045,7,3.012370339314527e-05,0.11,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",13045,7,0.0001553878308442342,0.13,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",13045,7,1.1235029759510277e-05,0.09,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",13045,7,0.0005433019381469598,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",13045,7,0.00035828591380959805,0.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",13045,7,4.664353855810379e-06,1.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",13045,7,0.00029675426911728974,0.01,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",13045,7,0.0003986171002719668,0.01,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",13045,7,3.357181404872525e-05,0.08,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",13045,7,0.0011397079836262375,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",13045,7,0.00016140993622098837,0.51,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",13045,7,0.00047608513780332746,0.16,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",13045,7,0.0007630703594294895,0.94,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",13045,7,0.00011879451557635856,0.48,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",13045,7,0.0012183940631840188,0.99,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",13045,7,8.551295831712398e-05,0.8,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",13045,7,0.00024263024962503313,0.22,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",13045,7,0.00020021853736045374,0.54,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",13045,7,0.00037886792044432364,0.13,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",13045,7,0.00016299438598120616,0.72,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",13045,7,0.0018600449853857308,0.57,0.9999999999845841
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",13045,7,0.00026884506686360583,0.13,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",13045,7,0.0006962026282297707,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",13045,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",13045,7,0.0007056221880696724,0.01,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",13045,7,1.3798786961505746e-05,0.09,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",13045,7,0.0008083375743579983,0.03,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",13045,7,0.0006822138798812399,0.0,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",13045,7,6.532136294108763e-06,1.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",13045,7,0.0013750308185154017,0.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",13045,7,0.00028482067925872037,0.02,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",13045,7,6.894738485286838e-05,0.15,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",13045,7,0.0011676031467565129,0.01,1.0
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",13045,7,7.042765565034525e-05,0.96,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",13045,7,0.00016558058536860293,0.76,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",13045,7,0.0009019211603948924,0.98,1.0
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",13045,7,0.00018594553636010517,0.39,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",13045,7,0.0022548478321031034,0.79,0.9999999771360378
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",13045,7,8.943800484430776e-05,0.94,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",13045,7,0.00021336204296852198,0.47,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",13045,7,0.00013738117130424393,0.92,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",13045,7,5.422415961353077e-05,0.93,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",13045,7,0.0003544360532828348,0.54,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",13045,7,0.002665204550665711,0.65,0.9999943776929022
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",13045,7,0.00035212799473634975,0.27,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",13045,7,0.0002800518890792732,0.07,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",13045,7,0.00012986545632877208,0.19,1.0
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",13045,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",13045,7,2.6686563243498762e-05,0.33,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",13045,7,0.002350294800729495,0.0,0.9999999032137624
75,75,"('Response', 'Arousal')","('Response', 'Fear')",13045,7,0.0005230022926386423,0.04,1.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",13045,7,6.932019985994952e-05,0.11,1.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",13045,7,0.0005173964042666265,0.0,1.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",13045,7,0.0005728678405042898,0.0,1.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",13045,7,9.61848337866324e-05,0.13,1.0
80,80,"('Response', 'Arousal')","('Response', 'Valence')",13045,7,0.002707278386166052,0.0,0.9999909953777462
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",13045,7,0.00032458531292698387,0.88,1.0
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",13045,7,0.0004409507097919815,0.79,1.0
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",13045,7,0.0022954439131169925,1.0,0.9999999571962982
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",13045,7,0.0003946471410673544,0.43,1.0
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",13045,7,0.004260231168746157,1.0,0.8566126072594562
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",13045,7,0.00024255551526799205,0.99,1.0
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",13045,7,0.00041943095202966424,0.48,1.0
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",13045,7,0.0006588052392992619,0.42,1.0
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",13045,7,0.00034594840583770904,0.54,1.0
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",13045,7,0.00041546596209872914,0.98,1.0
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",13045,7,0.0046305910348272,1.0,0.6628552348251404
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",13045,7,4.179925417191661e-05,0.37,1.0
93,93,"('Response', 'Disgust')","('Response', 'Anger')",13045,7,4.9299939881413315e-05,0.02,1.0
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",13045,7,1.2814101593557131e-05,0.01,1.0
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",13045,7,0.000290519855174677,0.08,1.0
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",13045,7,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",13045,7,0.0002187208642579628,0.13,1.0
98,98,"('Response', 'Disgust')","('Response', 'Fear')",13045,7,2.691641586278233e-05,0.1,1.0
99,99,"('Response', 'Disgust')","('Response', 'Joy')",13045,7,2.564493415817524e-06,1.0,1.0
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",13045,7,1.3982144375777514e-06,1.0,1.0
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",13045,7,2.1882897768894692e-05,0.04,1.0
102,102,"('Response', 'Disgust')","('Response', 'Trust')",13045,7,1.781387709622231e-05,0.04,1.0
103,103,"('Response', 'Disgust')","('Response', 'Valence')",13045,7,0.0003206149785620784,0.09,1.0
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",13045,7,8.567334707885397e-05,0.38,1.0
