,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",10452,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",10452,7,6.048934034090429e-05,0.49,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",10452,7,8.753496421840181e-05,0.31,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",10452,7,7.880247981745715e-05,0.99,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",10452,7,6.208860508998675e-05,0.34,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",10452,7,0.0005142211137488045,0.6,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",10452,7,7.006980360697859e-05,0.27,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",10452,7,6.642391213122565e-05,0.5,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",10452,7,3.48003218793562e-05,0.82,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",10452,7,3.3460937465548686e-05,0.87,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",10452,7,8.348532525533912e-05,0.35,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",10452,7,0.0007063824991972644,0.42,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",10452,7,0.0007019221909060053,0.36,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",10452,7,0.0005248299822104589,0.92,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",10452,7,0.005025481525008264,0.22,0.9322620732598649
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",10452,7,0.00025298283351938314,0.52,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",10452,7,0.006881444559132945,0.87,0.16154255789793692
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",10452,7,0.0004625951153346561,0.61,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",10452,7,0.0007684361959509972,0.41,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",10452,7,0.0007994749310918021,0.26,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",10452,7,0.00023892781642747234,0.98,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",10452,7,0.0007109983622652033,0.66,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",10452,7,0.009083828644187766,0.32,0.0003234877495791322
23,23,"('Response', 'Anger')","('Other', 'Unknown')",10452,7,4.0571662375492036e-05,0.78,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",10452,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",10452,7,9.864946141383474e-06,0.14,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",10452,7,0.00047212518777520706,0.04,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",10452,7,1.8234953347441921e-06,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",10452,7,0.0009406825775927805,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",10452,7,1.6169719929734789e-06,1.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",10452,7,0.00038600002613288617,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",10452,7,8.183702799805591e-05,0.09,1.0
