,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",7894,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",7894,7,0.00021315290651036299,0.1,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",7894,7,7.501951441391412e-05,0.36,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",7894,7,9.840015130941536e-05,0.91,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",7894,7,0.00018668877806552156,0.1,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",7894,7,0.0004453705881000048,0.72,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",7894,7,0.00014682072260272907,0.17,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",7894,7,0.00018641184766202238,0.15,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",7894,7,0.0005298441304910732,0.05,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",7894,7,0.0003739092454448416,0.03,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",7894,7,3.330872393861054e-05,0.92,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",7894,7,0.000787206134196301,0.59,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",7894,7,0.00036730399322298517,0.58,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",7894,7,0.0010779388153470426,0.46,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",7894,7,0.00524627107509574,0.61,0.9993361077283134
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",7894,7,0.0002185459486816339,0.64,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",7894,7,0.008847767215711653,0.89,0.22859498282190427
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",7894,7,0.001448089491058096,0.02,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",7894,7,0.0013659998630680948,0.54,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",7894,7,0.0011122912097661873,0.13,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",7894,7,0.001130667485788761,0.15,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",7894,7,0.0009848074812352072,0.8,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",7894,7,0.01177084956340542,0.53,0.0006579930899983655
23,23,"('Response', 'Anger')","('Other', 'Unknown')",7894,7,2.8447794380383912e-05,0.35,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",7894,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",7894,7,2.786792310053276e-05,0.05,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",7894,7,0.00016455065824464064,0.11,1.0
