,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",34485,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",34485,7,0.00017569488746460704,0.01,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",34485,7,6.905543691766207e-05,0.2,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",34485,7,0.0003396884626457099,0.05,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",34485,7,2.6785944318455915e-05,0.43,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",34485,7,0.00031907553229689416,0.21,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",34485,7,5.2957977093325135e-05,0.5,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",34485,7,4.2108762972487826e-05,0.33,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",34485,7,5.233845365681807e-05,0.24,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",34485,7,3.319829891630475e-05,0.48,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",34485,7,6.00344923267435e-05,0.11,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",34485,7,0.0003364524308718276,0.42,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",34485,7,0.0003904167828108565,0.53,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",34485,7,0.0007467202419267718,0.04,0.9999999998353265
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",34485,7,0.001802359198721729,0.83,0.5764365798023005
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",34485,7,0.0002721410388327734,0.44,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",34485,7,0.0030939800964572945,0.12,3.2921706398791883e-06
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",34485,7,0.0005069173581794492,0.55,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",34485,7,0.0003191519439549499,0.42,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",34485,7,0.0005687425761059863,0.11,0.9999999999999982
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",34485,7,0.0005769257259842342,0.03,0.9999999999999967
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",34485,7,0.0009737941467964444,0.02,0.9999980557017802
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",34485,7,0.0036554730902992895,0.03,3.9103476012769534e-10
23,23,"('Response', 'Anger')","('Other', 'Unknown')",34485,7,1.4831439334483243e-05,0.88,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",34485,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",34485,7,1.56709632493541e-05,0.14,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",34485,7,0.0003201600816113501,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",34485,7,7.01270043195625e-05,0.03,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",34485,7,0.0005694251402311049,0.0,0.9999999999999981
29,29,"('Response', 'Anger')","('Response', 'Fear')",34485,7,4.346610045764773e-05,0.11,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",34485,7,0.0001014244406899729,0.02,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",34485,7,9.808399947044138e-05,0.01,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",34485,7,1.311787321200797e-06,1.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",34485,7,2.34449449325855e-06,1.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",34485,7,0.00046990937431812794,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",34485,7,6.628372207385121e-05,0.59,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",34485,7,6.20576711175439e-05,0.8,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",34485,7,0.0005051585271160824,0.73,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",34485,7,7.136801087248138e-05,0.24,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",34485,7,0.0005879144139162877,0.95,0.9999999999999922
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",34485,7,7.844124350940061e-05,0.79,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",34485,7,2.863468801323865e-05,0.67,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",34485,7,4.679720161355134e-05,0.83,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",34485,7,2.2123067901111767e-05,0.71,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",34485,7,5.965104491334531e-05,0.79,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",34485,7,0.0008368932467964502,0.88,0.9999999882569096
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",34485,7,2.130475385767333e-05,0.83,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",34485,7,0.00020430104282560292,0.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",34485,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",34485,7,0.0004648426207476074,0.0,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",34485,7,0.00012346807191896867,0.0,1.0
