,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",10122,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",10122,7,3.472364453072314e-05,0.93,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",10122,7,8.02314313307774e-05,0.59,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",10122,7,0.0007082479965706368,0.13,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",10122,7,5.359061720185857e-05,0.8,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",10122,7,0.0005112747165522305,0.59,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",10122,7,2.5960965570382715e-05,0.89,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",10122,7,8.713358984152807e-05,0.19,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",10122,7,0.0005654897694282433,0.0,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",10122,7,5.282926544849079e-05,0.78,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",10122,7,2.2037022966953845e-05,0.79,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",10122,7,0.0005850755263758403,0.74,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",10122,7,0.0025547523143358074,0.42,0.9999999998097406
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",10122,7,0.003701534747256994,0.01,0.9999507538480997
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",10122,7,0.011642203969959427,0.3,2.2752933537262265e-08
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",10122,7,0.002188574662554859,0.08,0.9999999999996454
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",10122,7,0.007910196762306174,0.38,0.02896583258694152
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",10122,7,0.0043424102054528384,0.07,0.997372107278657
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",10122,7,0.0026340366129817315,0.12,0.9999999993844909
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",10122,7,0.002451079497797759,0.18,0.9999999999626598
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",10122,7,0.0027351445155189653,0.01,0.999999997468614
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",10122,7,0.0025690572698528927,0.78,0.9999999997638089
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",10122,7,0.00262387995605917,0.66,0.999999999468693
