,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",9510,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",9510,7,1.0761927544394114e-05,0.92,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",9510,7,4.275073621015603e-05,0.61,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",9510,7,0.00021454151996290835,0.97,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",9510,7,3.504770915046642e-05,1.0,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",9510,7,0.00012784479722192016,1.0,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",9510,7,2.7022680872317846e-05,0.82,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",9510,7,8.501491807049953e-05,0.38,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",9510,7,7.061888027706876e-06,0.97,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",9510,7,9.954123483301079e-05,0.39,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",9510,7,0.00011424081353807612,0.69,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",9510,7,0.00030746823603673213,1.0,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",9510,7,0.006241975490582208,0.17,0.7116762297788684
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",9510,7,0.00361502402233054,0.79,0.9999960347129636
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",9510,7,0.010787127515245177,0.57,1.8202991614701958e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",9510,7,0.002412211781025808,0.25,0.999999999998466
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",9510,7,0.004716574213881804,0.98,0.9959410664371081
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",9510,7,0.006288438849954525,0.09,0.6915990518071009
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",9510,7,0.002109884168789895,0.74,0.9999999999999952
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",9510,7,0.003497504938125446,0.62,0.999998587241271
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",9510,7,0.003654085794222295,0.12,0.9999944950845824
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",9510,7,0.00450883687495581,0.06,0.998490945573002
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",9510,7,0.0028633421860047555,0.77,0.9999999986367415
23,23,"('Response', 'Anger')","('Other', 'Unknown')",9510,7,0.0004886116011791324,0.15,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",9510,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",9510,7,0.00077858671035793,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",9510,7,0.0010679988618611939,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",9510,7,4.411435384780811e-06,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",9510,7,0.0012664510847764743,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",9510,7,0.00047871632477325843,0.03,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",9510,7,0.00036172204910197593,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",9510,7,6.499617268293868e-06,1.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",9510,7,0.00035346396041917674,0.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",9510,7,1.5151947185617294e-05,0.26,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",9510,7,0.001261134166838264,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",9510,7,0.0005889309566551474,1.0,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",9510,7,0.000833680472155304,0.79,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",9510,7,0.0028853193241293127,0.44,0.9999999981856513
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",9510,7,0.00028462535061745504,0.82,1.0
