,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",30700,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",30700,7,3.0458767928288e-05,0.55,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",30700,7,0.00012330743584844866,0.03,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",30700,7,0.00013915021815694,0.76,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",30700,7,1.633984829234946e-05,0.72,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",30700,7,0.00019609276615710993,0.9,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",30700,7,1.88965564210238e-05,0.66,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",30700,7,4.3025296173925854e-05,0.2,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",30700,7,5.591327586163023e-05,0.09,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",30700,7,3.222204800339337e-05,0.44,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",30700,7,6.229224899304753e-05,0.25,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",30700,7,0.0004174271497437669,0.7,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",30700,7,0.0008815709522350203,0.24,0.999999998895832
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",30700,7,0.0013500693394594985,0.24,0.9993123227715371
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",30700,7,0.003265214045753379,0.78,4.4775178250633374e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",30700,7,0.00016418171437409477,1.0,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",30700,7,0.002668487434159404,0.47,0.01792319808609588
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",30700,7,0.0016254287043737147,0.04,0.9693076357925331
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",30700,7,0.0007847161144047469,0.63,0.9999999999883198
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",30700,7,0.0009660922405248778,0.44,0.9999999690465896
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",30700,7,0.0003024428762449141,0.98,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",30700,7,0.001178646074112211,0.7,0.9999814453198621
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",30700,7,0.0010685977890404527,0.1,0.9999990757026851
23,23,"('Response', 'Anger')","('Other', 'Unknown')",30700,7,0.00020727087972417105,0.04,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",30700,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",30700,7,8.843644493175559e-05,0.01,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",30700,7,0.0001441515215838093,0.11,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",30700,7,1.3826534017260535e-06,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",30700,7,0.0008438485256883171,0.0,0.9999999997921761
29,29,"('Response', 'Anger')","('Response', 'Fear')",30700,7,5.086311242834931e-05,0.16,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",30700,7,1.4988578071297869e-05,0.09,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",30700,7,2.306480693709018e-06,1.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",30700,7,3.984645598538463e-06,0.19,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",30700,7,1.0794487779806086e-05,0.1,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",30700,7,0.0010788882428737305,0.0,0.9999987437688906
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",30700,7,0.00016673663576606724,0.73,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",30700,7,0.000374529870868967,0.56,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",30700,7,0.0012564795258767694,0.97,0.9998895949848989
