,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",18960,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",18960,7,4.269459068411805e-05,0.54,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",18960,7,9.472078043089848e-05,0.4,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",18960,7,0.0003609355143268281,0.53,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",18960,7,1.4591572952259906e-05,0.66,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",18960,7,0.0005222823890464595,0.84,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",18960,7,6.234709598420709e-05,0.46,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",18960,7,9.266241901563853e-05,0.36,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",18960,7,7.083000526563087e-05,0.28,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",18960,7,6.274141551595364e-05,0.44,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",18960,7,0.0001191044857782695,0.41,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",18960,7,0.00041963331504442743,0.99,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",18960,7,0.001175458453883577,0.56,0.9999999999995361
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",18960,7,0.0012048478851133004,0.95,0.9999999999986926
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",18960,7,0.005623327011787953,0.57,3.4271303052113566e-06
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",18960,7,0.0007810602367529239,0.28,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",18960,7,0.003481504998949778,0.5,0.38698857292673006
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",18960,7,0.002490566393153116,0.0,0.9885493421217756
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",18960,7,0.0009536763882784973,0.97,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",18960,7,0.0014879753310404339,0.23,0.9999999948742656
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",18960,7,0.0013227793692870658,0.06,0.9999999999418863
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",18960,7,0.0013600506511961326,0.97,0.9999999998272784
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",18960,7,0.001386796736985048,0.26,0.9999999996335931
23,23,"('Response', 'Anger')","('Other', 'Unknown')",18960,7,4.620606706461807e-05,0.35,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",18960,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",18960,7,0.00035981718543849986,0.01,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",18960,7,0.00043413422080896153,0.0,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",18960,7,1.1988932390662617e-06,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",18960,7,0.0007521456816060354,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",18960,7,7.823218662678622e-05,0.08,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",18960,7,0.0003355476317666094,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",18960,7,2.7969169502816886e-05,0.09,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",18960,7,0.00018430200649007552,0.02,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",18960,7,0.00032994538169996265,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",18960,7,0.0007338357857433736,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",18960,7,0.00016660635953394005,0.9,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",18960,7,0.000948431592364945,0.04,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",18960,7,0.0012565756835362708,0.94,0.9999999999926036
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",18960,7,7.422782500107915e-05,0.82,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",18960,7,0.0008192499610166791,0.87,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",18960,7,0.000305269269333413,0.78,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",18960,7,0.0006024560919714405,0.18,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",18960,7,0.0004480276910788539,0.27,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",18960,7,0.0005385926118044634,0.03,1.0
