,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",32884,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",32884,7,8.373573136921935e-05,0.04,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",32884,7,4.0595177392501865e-05,0.37,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",32884,7,0.0004329793558197412,0.01,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",32884,7,7.456994738510213e-05,0.06,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",32884,7,0.00025008249782328297,0.83,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",32884,7,0.00010793511099500346,0.02,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",32884,7,0.00012685529609100148,0.06,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",32884,7,0.00010115314787583901,0.0,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",32884,7,0.00012450671905991044,0.07,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",32884,7,9.356758695654316e-05,0.12,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",32884,7,0.000598478032575398,0.31,0.9999999999999979
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",32884,7,0.0003092924221337503,0.22,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",32884,7,0.0003548680750612113,0.75,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",32884,7,0.0021802935679982693,0.72,0.16713756466864393
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",32884,7,3.2563093480619567e-05,0.99,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",32884,7,0.002951877594724969,0.84,0.00014795420614588384
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",32884,7,0.00029883207197875197,0.31,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",32884,7,0.0005258902753796584,0.16,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",32884,7,0.00021265872785164447,0.52,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",32884,7,0.00032047034613127257,0.35,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",32884,7,0.0009482384715163264,0.0,0.9999998263454051
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",32884,7,0.002845256961711903,1.0,0.000516313998580209
23,23,"('Response', 'Anger')","('Other', 'Unknown')",32884,7,0.000148970648037162,0.08,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",32884,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",32884,7,0.00026766658398142936,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",32884,7,4.31728001742719e-05,0.24,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",32884,7,8.335771370627215e-07,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",32884,7,0.0003346000829285798,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",32884,7,2.116020610904898e-06,1.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",32884,7,0.0001923442819646177,0.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",32884,7,9.72378197236522e-07,1.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",32884,7,5.060254063812417e-05,0.04,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",32884,7,0.0001899923867442224,0.01,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",32884,7,0.0003230872339961097,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",32884,7,6.014610136622774e-05,0.43,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",32884,7,5.1617029233749547e-05,0.91,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",32884,7,0.0005696319814760742,0.8,0.9999999999999998
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",32884,7,3.095012117679759e-05,0.73,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",32884,7,0.0010665841604300516,0.39,0.9999926040627403
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",32884,7,6.569187929120718e-05,0.33,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",32884,7,9.279065985043954e-05,0.46,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",32884,7,6.135842321138363e-05,0.36,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",32884,7,7.062049684276284e-05,0.37,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",32884,7,0.00016606190696443206,0.44,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",32884,7,0.001088785029199702,0.74,0.9999863661756664
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",32884,7,8.468389283754092e-05,0.31,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",32884,7,0.00019783451398387383,0.01,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",32884,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",32884,7,0.001156395066125557,0.0,0.9999249149842578
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",32884,7,8.395582601531675e-05,0.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",32884,7,0.0006791775383073614,0.0,0.9999999999994893
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",32884,7,7.504326079136781e-06,0.14,1.0
