,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",19648,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",19648,7,5.689849145325042e-05,0.11,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",19648,7,1.349356075722073e-05,0.93,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",19648,7,0.00022067220274035515,0.72,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",19648,7,4.740349163579127e-05,0.34,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",19648,7,0.0005951299130267146,0.37,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",19648,7,7.457509503435934e-06,0.88,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",19648,7,0.0002766520150199139,0.08,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",19648,7,6.068151246628908e-05,0.53,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",19648,7,6.195142901903497e-05,0.38,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",19648,7,1.853608853108464e-05,0.94,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",19648,7,0.000637252128318581,0.51,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",19648,7,0.000989010423254578,0.69,0.9999999999999988
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",19648,7,0.0017779619434101798,0.39,0.9999934720097091
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",19648,7,0.007092128351541176,0.01,3.4061642395499803e-13
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",19648,7,0.0009510249532587783,0.35,0.9999999999999998
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",19648,7,0.003548998450105894,0.9,0.23133465165281641
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",19648,7,0.0012438942695597946,0.69,0.9999999999792389
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",19648,7,0.001995277648258876,0.04,0.9998311058910265
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",19648,7,0.0011276872540344222,0.76,0.9999999999996375
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",19648,7,0.0007899240625395506,0.51,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",19648,7,0.002755386284018348,0.1,0.8966927282496167
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",19648,7,0.0021854672743903503,0.0,0.9984276120218113
23,23,"('Response', 'Anger')","('Other', 'Unknown')",19648,7,5.209795625898048e-05,0.54,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",19648,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",19648,7,0.0003766211977493404,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",19648,7,0.00026076930207201193,0.05,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",19648,7,3.0459995161673e-05,0.06,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",19648,7,0.000624009052342114,0.0,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",19648,7,0.00019594508957519066,0.01,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",19648,7,0.0001443329357304572,0.02,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",19648,7,4.7716220303368384e-05,0.05,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",19648,7,7.527414829333585e-06,0.06,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",19648,7,0.0003424336434919541,0.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",19648,7,0.0004532721043713441,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",19648,7,0.00024079331912877652,0.58,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",19648,7,0.0003585561758729829,0.65,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",19648,7,0.0013954795225311417,0.57,0.9999999982115666
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",19648,7,0.0002850280625930406,0.27,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",19648,7,0.0010962610379492799,0.52,0.9999999999998914
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",19648,7,0.00018961191609355812,0.8,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",19648,7,0.00015017780783135816,0.93,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",19648,7,0.0002232077972498937,0.68,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",19648,7,0.0002220106487200452,0.57,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",19648,7,0.0013145263828418662,0.0,0.9999999998161222
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",19648,7,0.0006075689763146418,0.02,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",19648,7,0.00010817291644711144,0.48,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",19648,7,0.00011231516415584007,0.01,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",19648,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",19648,7,0.0010000297078692486,0.0,0.9999999999999981
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",19648,7,0.0001529753670793394,0.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",19648,7,0.0006201469631862397,0.01,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",19648,7,0.00020620984518914708,0.03,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",19648,7,0.00040398471620378316,0.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",19648,7,0.0003546385952243892,0.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",19648,7,0.0001559309840383583,0.03,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",19648,7,0.0004480312152039818,0.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",19648,7,0.0008799667257501925,0.0,1.0
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",19648,7,0.0003823115202870977,0.56,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",19648,7,0.0007100467400529872,0.3,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",19648,7,0.002574950147833393,0.48,0.9616292316798348
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",19648,7,0.000228404687007525,0.63,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",19648,7,0.002278269241588021,0.05,0.9960804133270591
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",19648,7,0.0006912646006438415,0.14,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",19648,7,0.0007412888864824298,0.15,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",19648,7,0.0002641551196593235,0.92,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",19648,7,0.00036899368278238783,0.44,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",19648,7,0.0015199301882626646,0.0,0.9999999607898474
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",19648,7,0.0002881330889802202,0.8,1.0
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",19648,7,0.0002323528544715727,0.48,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",19648,7,0.0009461425588425266,0.0,0.9999999999999999
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",19648,7,0.0010166991425770604,0.0,0.999999999999996
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",19648,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",19648,7,0.0010643158950008255,0.0,0.9999999999999698
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",19648,7,0.001909001864536165,0.0,0.9999487538140144
75,75,"('Response', 'Arousal')","('Response', 'Fear')",19648,7,0.000652761663707556,0.0,1.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",19648,7,0.0002906901970758187,0.05,1.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",19648,7,0.0006265057703562177,0.0,1.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",19648,7,0.0011009598978218213,0.0,0.9999999999998695
79,79,"('Response', 'Arousal')","('Response', 'Trust')",19648,7,0.0008469796354562968,0.0,1.0
80,80,"('Response', 'Arousal')","('Response', 'Valence')",19648,7,0.0020240852686240524,0.0,0.9997550664940918
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",19648,7,0.0007385765975402312,0.55,1.0
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",19648,7,0.0017124318828535185,0.05,0.9999979447176202
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",19648,7,0.002750038736908218,1.0,0.8993093804545921
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",19648,7,0.00039906245313141357,0.87,1.0
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",19648,7,0.004151614666783153,0.03,0.01969108563911437
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",19648,7,0.0009340345002756235,0.59,0.9999999999999999
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",19648,7,0.000711228965939035,0.9,1.0
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",19648,7,0.0011761122426763226,0.21,0.9999999999978897
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",19648,7,0.0005593190773008104,0.7,1.0
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",19648,7,0.0016179317183141807,0.57,0.9999996707510197
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",19648,7,0.0005543686918271617,0.84,1.0
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",19648,7,4.866439609220343e-05,0.43,1.0
93,93,"('Response', 'Disgust')","('Response', 'Anger')",19648,7,1.090636848123512e-06,1.0,1.0
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",19648,7,0.00017272521038701435,0.0,1.0
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",19648,7,0.0002955002576103908,0.01,1.0
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",19648,7,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",19648,7,0.00034710505518035785,0.01,1.0
98,98,"('Response', 'Disgust')","('Response', 'Fear')",19648,7,0.00019773680962608244,0.0,1.0
99,99,"('Response', 'Disgust')","('Response', 'Joy')",19648,7,9.63479619045292e-06,0.05,1.0
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",19648,7,3.775554202998442e-05,0.04,1.0
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",19648,7,4.548021099074419e-06,0.26,1.0
