,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",9623,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",9623,7,2.1896420991552205e-05,0.99,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",9623,7,0.00015536262075270413,0.05,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",9623,7,8.968857407883586e-05,0.78,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",9623,7,1.831280225843844e-05,0.99,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",9623,7,0.0005205477326120726,0.16,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",9623,7,3.2922978918099346e-05,0.99,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",9623,7,0.00013278118115803874,0.03,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",9623,7,2.9241619151472673e-05,0.97,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",9623,7,2.1992795288974706e-05,1.0,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",9623,7,0.0001991634984136606,0.08,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",9623,7,0.0005190787890727074,0.24,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",9623,7,0.0035324290577535694,0.19,0.9999972020832074
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",9623,7,0.0043985884601410365,0.16,0.9988806835273806
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",9623,7,0.012521361323320952,0.04,6.398047203148849e-09
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",9623,7,0.0014524134471682305,0.46,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",9623,7,0.004701441383874455,0.52,0.9951409878268828
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",9623,7,0.003316667332344542,0.89,0.9999996288577694
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",9623,7,0.004274962926343956,0.02,0.9994335389061958
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",9623,7,0.0030725598278920404,0.29,0.9999999727301645
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",9623,7,0.0017480271566516555,0.84,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",9623,7,0.00576463827590257,0.06,0.8600716134977466
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",9623,7,0.001904936739355424,0.67,0.9999999999999999
23,23,"('Response', 'Anger')","('Other', 'Unknown')",9623,7,0.0003167259916830683,0.05,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",9623,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",9623,7,2.200902029518998e-05,0.01,1.0
