,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",27704,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",27704,7,1.2904821343647182e-05,0.7,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",27704,7,0.00015636183327664835,0.06,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",27704,7,0.00039308149129936294,0.12,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",27704,7,1.945699939166137e-05,0.57,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",27704,7,0.0005533833794489503,0.14,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",27704,7,0.0001669490089553645,0.05,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",27704,7,2.1828871215273286e-05,0.44,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",27704,7,6.366289409331176e-05,0.31,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",27704,7,5.368897546400752e-05,0.1,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",27704,7,3.9671642794721264e-06,0.86,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",27704,7,0.0007598180679345124,0.04,0.9999999999999596
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",27704,7,0.0004641719682014968,0.4,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",27704,7,0.00036992572429663374,0.63,1.0
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",27704,7,0.00255354128997098,0.48,0.1964849448108581
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",27704,7,0.00040018589986741567,0.13,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",27704,7,0.0031954177427781514,0.71,0.0027031331748694765
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",27704,7,0.0005597060312841342,0.21,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",27704,7,0.00034409852059062707,0.68,1.0
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",27704,7,0.0003297607787630653,0.75,1.0
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",27704,7,0.0002935967416350499,0.46,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",27704,7,0.00023321896721485846,0.86,1.0
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",27704,7,0.0033639803609654185,0.86,0.0005867016916555334
23,23,"('Response', 'Anger')","('Other', 'Unknown')",27704,7,0.00017502786363405803,0.17,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",27704,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",27704,7,9.870435202377903e-06,0.09,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",27704,7,0.00018673146365156114,0.01,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",27704,7,1.9216543318030242e-05,0.09,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",27704,7,0.00018198688915365639,0.07,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",27704,7,0.00016229407274901886,0.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",27704,7,7.682234934961842e-06,0.05,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",27704,7,0.0001457570238663749,0.03,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",27704,7,1.8010912438460452e-06,1.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",27704,7,8.440834182097419e-05,0.07,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",27704,7,0.000611513578307879,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",27704,7,0.0001014625342079926,0.47,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",27704,7,0.00018640107268161525,0.28,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",27704,7,0.00040857300612600044,0.95,1.0
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",27704,7,6.324297933806281e-05,0.26,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",27704,7,0.0006582762901957966,0.99,0.9999999999999999
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",27704,7,3.430386812304373e-05,0.75,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",27704,7,0.00018709885581398423,0.16,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",27704,7,0.0001185715964391135,0.32,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",27704,7,8.404328180457248e-05,0.48,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",27704,7,2.5695012307489172e-05,0.92,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",27704,7,0.001053185219229595,0.86,0.9999999826710563
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",27704,7,1.0003090467095628e-05,0.96,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",27704,7,0.00013265848136012793,0.02,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",27704,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",27704,7,0.0002536469836034069,0.0,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",27704,7,0.00013391875874718483,0.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",27704,7,0.00033849436567340253,0.0,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",27704,7,0.00013146635990617076,0.01,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",27704,7,0.0003147220771213303,0.0,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",27704,7,0.00010815809159887552,0.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",27704,7,0.00015311418286466727,0.02,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",27704,7,0.00036029893438011614,0.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",27704,7,0.0003589246210432832,0.0,1.0
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",27704,7,9.541927486128475e-05,0.44,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",27704,7,0.00010003902147826038,0.48,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",27704,7,0.0003325584797783444,0.99,1.0
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",27704,7,5.762190675567704e-05,0.52,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",27704,7,0.000791652968158216,0.87,0.999999999999764
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",27704,7,8.814464658184276e-05,0.47,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",27704,7,8.587178024156366e-05,0.51,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",27704,7,0.00024156425505294623,0.12,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",27704,7,8.025678987617122e-05,0.5,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",27704,7,9.458913611643739e-05,0.55,1.0
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",27704,7,0.0007718330856659383,1.0,0.9999999999999203
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",27704,7,0.00025712454361376784,0.19,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",27704,7,0.00017119507848575174,0.05,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",27704,7,0.0002996990789269134,0.01,1.0
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",27704,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",27704,7,0.00034808541975635997,0.01,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",27704,7,0.0008481815157152554,0.0,0.9999999999957748
75,75,"('Response', 'Arousal')","('Response', 'Fear')",27704,7,0.0003062909402009144,0.0,1.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",27704,7,7.79563765521881e-05,0.05,1.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",27704,7,0.00027512800180383445,0.0,1.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",27704,7,0.00018033972657286682,0.02,1.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",27704,7,0.0001521790685429263,0.04,1.0
80,80,"('Response', 'Arousal')","('Response', 'Valence')",27704,7,0.0010700272713768766,0.0,0.9999999696184869
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",27704,7,0.00017231218262922778,0.74,1.0
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",27704,7,0.00015723437383354416,0.83,1.0
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",27704,7,0.0009779738505372383,1.0,0.999999998850615
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",27704,7,6.847554727597897e-05,0.86,1.0
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",27704,7,0.0016977373266110546,1.0,0.9893595114891129
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",27704,7,0.00018337120159332395,0.57,1.0
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",27704,7,0.00041177181966305424,0.12,1.0
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",27704,7,0.0002596018657759462,0.39,1.0
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",27704,7,7.251123631808515e-05,0.97,1.0
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",27704,7,0.0002662983101875453,0.39,1.0
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",27704,7,0.002653034232001402,0.98,0.12051964280084804
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",27704,7,9.034642882632485e-06,0.94,1.0
