,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",18781,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",18781,7,5.375489541469716e-06,0.99,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",18781,7,3.339678149113275e-05,0.59,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",18781,7,0.0003808603404526983,0.37,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",18781,7,3.497439765671133e-05,0.48,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",18781,7,0.0005767695894816804,0.41,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",18781,7,4.988738034204721e-07,0.96,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",18781,7,0.00014309117208317286,0.11,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",18781,7,6.052566087327883e-05,0.6,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",18781,7,3.457112403955777e-06,0.89,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",18781,7,9.803248285424849e-05,0.32,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",18781,7,0.0004931031000768802,0.83,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",18781,7,0.0005565075277736098,0.75,1.0
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",18781,7,0.0013349004722790036,0.9,0.999999999942725
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",18781,7,0.005378517462034546,0.86,3.3364896487864115e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",18781,7,0.0004965390232454276,0.47,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",18781,7,0.003052503713649492,0.73,0.7954722985468634
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",18781,7,0.0014567305068660646,0.17,0.999999998351927
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",18781,7,0.0015689514677005995,0.35,0.9999999755210807
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",18781,7,0.0012265748372852455,0.37,0.9999999999981469
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",18781,7,0.001710033462745902,0.03,0.9999995388265432
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",18781,7,0.0017680836311509585,0.87,0.9999986438944329
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",18781,7,0.0013277065438691271,0.11,0.9999999999537618
23,23,"('Response', 'Anger')","('Other', 'Unknown')",18781,7,5.510630611677231e-05,0.46,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",18781,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",18781,7,0.0005269070393662057,0.0,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",18781,7,9.996445368794204e-05,0.17,1.0
