,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",49402,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",49402,7,1.1154322626609243e-05,0.3,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",49402,7,3.523781488759971e-05,0.09,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",49402,7,1.512616935566304e-05,0.85,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",49402,7,7.829355020531047e-06,0.66,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",49402,7,0.00010352777544194006,0.38,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",49402,7,1.318574409031989e-05,0.11,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",49402,7,6.4436129809903235e-06,0.87,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",49402,7,1.0281382045752861e-05,0.96,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",49402,7,1.45319905568476e-05,0.15,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",49402,7,0.00012113977764925684,0.05,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",49402,7,0.00013775658141183252,0.32,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",49402,7,0.00042108091568247944,0.4,0.9999999999999758
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",49402,7,0.0009750130208975593,0.02,0.9833817601170625
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",49402,7,0.0020156885642312957,0.72,5.758109322073768e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",49402,7,0.00015483090794632393,0.79,1.0
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",49402,7,0.0011002454130518893,0.97,0.890853684988629
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",49402,7,0.0003163970489575106,0.83,1.0
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",49402,7,0.0007376516079686163,0.24,0.9999771819140677
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",49402,7,0.0004742094553420739,0.25,0.9999999999962527
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",49402,7,0.00030401973314255924,0.58,1.0
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",49402,7,0.0009107135914726436,0.82,0.9956193222763681
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",49402,7,0.00039682704451492933,0.48,0.9999999999999982
23,23,"('Response', 'Anger')","('Other', 'Unknown')",49402,7,1.0561179707574511e-05,0.68,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",49402,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",49402,7,8.40046628942053e-06,0.03,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",49402,7,1.5940340320986364e-05,0.08,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",49402,7,1.239532912312226e-07,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",49402,7,1.832064483234031e-05,0.14,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",49402,7,1.0388567776911478e-07,1.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",49402,7,4.7105688309400494e-07,1.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",49402,7,3.106745898954514e-05,0.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",49402,7,2.610974494430635e-07,1.0,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",49402,7,5.754900563670039e-07,1.0,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",49402,7,2.5987899721914007e-05,0.19,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",49402,7,0.00014180910272456725,0.07,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",49402,7,0.0002132580420929005,0.23,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",49402,7,0.00048735020762417377,0.37,0.9999999999885653
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",49402,7,3.244149205053805e-05,0.66,1.0
