,index,Source,Target,n,k,apparent_te,apparent_te_p_value,apparent_te_p_value_analytical
0,0,"('Other', 'Unknown')","('Other', 'Unknown')",51172,7,0.0,1.0,1.0
1,1,"('Other', 'Unknown')","('Response', 'Anger')",51172,7,1.8509166342096163e-05,0.63,1.0
2,2,"('Other', 'Unknown')","('Response', 'Anticipation')",51172,7,2.2990312536557837e-05,0.54,1.0
3,3,"('Other', 'Unknown')","('Response', 'Arousal')",51172,7,1.9205860585684935e-05,1.0,1.0
4,4,"('Other', 'Unknown')","('Response', 'Disgust')",51172,7,1.0929085291471748e-05,0.55,1.0
5,5,"('Other', 'Unknown')","('Response', 'Dominance')",51172,7,0.00010702022556271381,0.79,1.0
6,6,"('Other', 'Unknown')","('Response', 'Fear')",51172,7,3.526914829929078e-06,0.88,1.0
7,7,"('Other', 'Unknown')","('Response', 'Joy')",51172,7,2.9674701976911713e-05,0.15,1.0
8,8,"('Other', 'Unknown')","('Response', 'Sadness')",51172,7,2.6495249815091427e-05,0.42,1.0
9,9,"('Other', 'Unknown')","('Response', 'Surprise')",51172,7,2.529157490633454e-06,0.68,1.0
10,10,"('Other', 'Unknown')","('Response', 'Trust')",51172,7,6.760554247077446e-06,0.72,1.0
11,11,"('Other', 'Unknown')","('Response', 'Valence')",51172,7,0.00031280071306763447,0.02,1.0
12,12,"('Other', 'Unknown')","('Stimulus', 'Anger')",51172,7,0.000761717599072349,0.76,0.9998539448958929
13,13,"('Other', 'Unknown')","('Stimulus', 'Anticipation')",51172,7,0.0010285941046930095,0.82,0.9296691597101769
14,14,"('Other', 'Unknown')","('Stimulus', 'Arousal')",51172,7,0.0020080153399636425,0.33,1.6602873148197084e-05
15,15,"('Other', 'Unknown')","('Stimulus', 'Disgust')",51172,7,0.00046225749888193895,0.58,0.9999999999944262
16,16,"('Other', 'Unknown')","('Stimulus', 'Dominance')",51172,7,0.0018099292121373093,0.33,0.0007119109797192325
17,17,"('Other', 'Unknown')","('Stimulus', 'Fear')",51172,7,0.001288157968435419,0.29,0.3905737583817436
18,18,"('Other', 'Unknown')","('Stimulus', 'Joy')",51172,7,0.0013734359442810532,0.07,0.21153821788418548
19,19,"('Other', 'Unknown')","('Stimulus', 'Sadness')",51172,7,0.0011097537221232483,0.48,0.8150606920869866
20,20,"('Other', 'Unknown')","('Stimulus', 'Surprise')",51172,7,0.0005700398626352984,0.79,0.9999999827550916
21,21,"('Other', 'Unknown')","('Stimulus', 'Trust')",51172,7,0.0014346410741791302,0.22,0.12230653200629626
22,22,"('Other', 'Unknown')","('Stimulus', 'Valence')",51172,7,0.0006776335913076738,0.85,0.9999947476734705
23,23,"('Response', 'Anger')","('Other', 'Unknown')",51172,7,5.9734712150652984e-05,0.14,1.0
24,24,"('Response', 'Anger')","('Response', 'Anger')",51172,7,0.0,1.0,1.0
25,25,"('Response', 'Anger')","('Response', 'Anticipation')",51172,7,6.597871479065163e-06,0.04,1.0
26,26,"('Response', 'Anger')","('Response', 'Arousal')",51172,7,4.2760031945243235e-05,0.11,1.0
27,27,"('Response', 'Anger')","('Response', 'Disgust')",51172,7,8.615224848775872e-08,1.0,1.0
28,28,"('Response', 'Anger')","('Response', 'Dominance')",51172,7,2.5212449652794754e-05,0.12,1.0
29,29,"('Response', 'Anger')","('Response', 'Fear')",51172,7,2.006609203112329e-05,0.0,1.0
30,30,"('Response', 'Anger')","('Response', 'Joy')",51172,7,2.835920387418881e-07,1.0,1.0
31,31,"('Response', 'Anger')","('Response', 'Sadness')",51172,7,1.766182738448979e-07,1.0,1.0
32,32,"('Response', 'Anger')","('Response', 'Surprise')",51172,7,1.2552339355314925e-06,0.04,1.0
33,33,"('Response', 'Anger')","('Response', 'Trust')",51172,7,9.504819549655839e-07,0.07,1.0
34,34,"('Response', 'Anger')","('Response', 'Valence')",51172,7,0.00011743256113147448,0.0,1.0
35,35,"('Response', 'Anger')","('Stimulus', 'Anger')",51172,7,5.960666879615546e-05,0.69,1.0
36,36,"('Response', 'Anger')","('Stimulus', 'Anticipation')",51172,7,0.00014123893286148244,0.56,1.0
37,37,"('Response', 'Anger')","('Stimulus', 'Arousal')",51172,7,0.0004081776446031942,0.73,0.999999999999971
38,38,"('Response', 'Anger')","('Stimulus', 'Disgust')",51172,7,4.934616130753956e-05,0.44,1.0
39,39,"('Response', 'Anger')","('Stimulus', 'Dominance')",51172,7,0.0002463337485073206,0.52,1.0
40,40,"('Response', 'Anger')","('Stimulus', 'Fear')",51172,7,0.00012831007753876707,0.5,1.0
41,41,"('Response', 'Anger')","('Stimulus', 'Joy')",51172,7,6.990426392875267e-05,0.83,1.0
42,42,"('Response', 'Anger')","('Stimulus', 'Sadness')",51172,7,0.0001256014357799979,0.62,1.0
43,43,"('Response', 'Anger')","('Stimulus', 'Surprise')",51172,7,0.00012495957251778902,0.29,1.0
44,44,"('Response', 'Anger')","('Stimulus', 'Trust')",51172,7,0.0002842311370788125,0.06,1.0
45,45,"('Response', 'Anger')","('Stimulus', 'Valence')",51172,7,0.0001307584792960056,0.39,1.0
46,46,"('Response', 'Anticipation')","('Other', 'Unknown')",51172,7,0.00010002189840216643,0.11,1.0
47,47,"('Response', 'Anticipation')","('Response', 'Anger')",51172,7,4.746275481498943e-07,1.0,1.0
48,48,"('Response', 'Anticipation')","('Response', 'Anticipation')",51172,7,0.0,1.0,1.0
49,49,"('Response', 'Anticipation')","('Response', 'Arousal')",51172,7,0.00013976386561375312,0.0,1.0
50,50,"('Response', 'Anticipation')","('Response', 'Disgust')",51172,7,3.159906189401958e-07,1.0,1.0
51,51,"('Response', 'Anticipation')","('Response', 'Dominance')",51172,7,0.0001972154782592845,0.0,1.0
52,52,"('Response', 'Anticipation')","('Response', 'Fear')",51172,7,2.623530515440959e-05,0.04,1.0
53,53,"('Response', 'Anticipation')","('Response', 'Joy')",51172,7,1.406080221364231e-06,0.09,1.0
54,54,"('Response', 'Anticipation')","('Response', 'Sadness')",51172,7,5.781653707038007e-07,1.0,1.0
55,55,"('Response', 'Anticipation')","('Response', 'Surprise')",51172,7,4.805458632276222e-07,1.0,1.0
56,56,"('Response', 'Anticipation')","('Response', 'Trust')",51172,7,6.259563038139286e-07,1.0,1.0
57,57,"('Response', 'Anticipation')","('Response', 'Valence')",51172,7,0.00010487947602362618,0.0,1.0
58,58,"('Response', 'Anticipation')","('Stimulus', 'Anger')",51172,7,9.266005766952367e-05,0.88,1.0
59,59,"('Response', 'Anticipation')","('Stimulus', 'Anticipation')",51172,7,0.00017400426462000008,0.85,1.0
60,60,"('Response', 'Anticipation')","('Stimulus', 'Arousal')",51172,7,0.0008945197433558577,0.05,0.9937501257496314
61,61,"('Response', 'Anticipation')","('Stimulus', 'Disgust')",51172,7,4.623936532383668e-05,0.71,1.0
62,62,"('Response', 'Anticipation')","('Stimulus', 'Dominance')",51172,7,0.00045074233747353654,0.41,0.9999999999980281
63,63,"('Response', 'Anticipation')","('Stimulus', 'Fear')",51172,7,0.00018686489690345487,0.75,1.0
64,64,"('Response', 'Anticipation')","('Stimulus', 'Joy')",51172,7,8.167237227744093e-05,0.98,1.0
65,65,"('Response', 'Anticipation')","('Stimulus', 'Sadness')",51172,7,0.00025829414880435816,0.39,1.0
66,66,"('Response', 'Anticipation')","('Stimulus', 'Surprise')",51172,7,0.000261022429313746,0.06,1.0
67,67,"('Response', 'Anticipation')","('Stimulus', 'Trust')",51172,7,0.00035737748003968235,0.16,0.9999999999999999
68,68,"('Response', 'Anticipation')","('Stimulus', 'Valence')",51172,7,0.00014213215732756021,0.6,1.0
69,69,"('Response', 'Arousal')","('Other', 'Unknown')",51172,7,2.5564874977673185e-05,0.99,1.0
70,70,"('Response', 'Arousal')","('Response', 'Anger')",51172,7,5.635135105854596e-05,0.0,1.0
71,71,"('Response', 'Arousal')","('Response', 'Anticipation')",51172,7,8.871440491311869e-05,0.01,1.0
72,72,"('Response', 'Arousal')","('Response', 'Arousal')",51172,7,0.0,1.0,1.0
73,73,"('Response', 'Arousal')","('Response', 'Disgust')",51172,7,6.835207858392047e-05,0.01,1.0
74,74,"('Response', 'Arousal')","('Response', 'Dominance')",51172,7,0.00026527880909311263,0.0,1.0
75,75,"('Response', 'Arousal')","('Response', 'Fear')",51172,7,5.5523425714428455e-05,0.02,1.0
76,76,"('Response', 'Arousal')","('Response', 'Joy')",51172,7,3.895298202351817e-06,0.13,1.0
77,77,"('Response', 'Arousal')","('Response', 'Sadness')",51172,7,4.98625221858154e-05,0.03,1.0
78,78,"('Response', 'Arousal')","('Response', 'Surprise')",51172,7,0.00014127949093964792,0.0,1.0
79,79,"('Response', 'Arousal')","('Response', 'Trust')",51172,7,7.938431249411028e-06,0.14,1.0
80,80,"('Response', 'Arousal')","('Response', 'Valence')",51172,7,0.0004352599969296583,0.0,0.9999999999995435
81,81,"('Response', 'Arousal')","('Stimulus', 'Anger')",51172,7,0.00019344228156895665,0.97,1.0
82,82,"('Response', 'Arousal')","('Stimulus', 'Anticipation')",51172,7,0.00042279924671571287,0.68,0.9999999999998673
83,83,"('Response', 'Arousal')","('Stimulus', 'Arousal')",51172,7,0.0011368288434539231,1.0,0.7613586766870548
84,84,"('Response', 'Arousal')","('Stimulus', 'Disgust')",51172,7,0.00011221835717616358,0.76,1.0
85,85,"('Response', 'Arousal')","('Stimulus', 'Dominance')",51172,7,0.0007438591781486869,0.74,0.9999226901209459
86,86,"('Response', 'Arousal')","('Stimulus', 'Fear')",51172,7,0.0002847250210220504,0.97,1.0
87,87,"('Response', 'Arousal')","('Stimulus', 'Joy')",51172,7,0.00043942350543706626,0.23,0.9999999999993182
88,88,"('Response', 'Arousal')","('Stimulus', 'Sadness')",51172,7,0.000364298790477877,0.73,0.9999999999999998
89,89,"('Response', 'Arousal')","('Stimulus', 'Surprise')",51172,7,0.00032882589074374264,0.18,1.0
90,90,"('Response', 'Arousal')","('Stimulus', 'Trust')",51172,7,0.0005501552087611006,0.45,0.9999999952143543
91,91,"('Response', 'Arousal')","('Stimulus', 'Valence')",51172,7,0.0003770172245585787,0.22,0.9999999999999991
92,92,"('Response', 'Disgust')","('Other', 'Unknown')",51172,7,8.47825863991471e-05,0.1,1.0
93,93,"('Response', 'Disgust')","('Response', 'Anger')",51172,7,2.433104230507562e-08,1.0,1.0
94,94,"('Response', 'Disgust')","('Response', 'Anticipation')",51172,7,3.5123211529211575e-06,0.01,1.0
95,95,"('Response', 'Disgust')","('Response', 'Arousal')",51172,7,2.1535700985567166e-05,0.03,1.0
96,96,"('Response', 'Disgust')","('Response', 'Disgust')",51172,7,0.0,1.0,1.0
97,97,"('Response', 'Disgust')","('Response', 'Dominance')",51172,7,9.999848205680188e-06,0.06,1.0
98,98,"('Response', 'Disgust')","('Response', 'Fear')",51172,7,8.898295471803886e-06,0.01,1.0
99,99,"('Response', 'Disgust')","('Response', 'Joy')",51172,7,1.949599515233436e-07,1.0,1.0
100,100,"('Response', 'Disgust')","('Response', 'Sadness')",51172,7,4.816483688230647e-08,1.0,1.0
101,101,"('Response', 'Disgust')","('Response', 'Surprise')",51172,7,1.1157315805123668e-06,0.01,1.0
102,102,"('Response', 'Disgust')","('Response', 'Trust')",51172,7,2.449056509324978e-07,1.0,1.0
103,103,"('Response', 'Disgust')","('Response', 'Valence')",51172,7,0.00011263830642745518,0.0,1.0
104,104,"('Response', 'Disgust')","('Stimulus', 'Anger')",51172,7,6.341163504789401e-05,0.5,1.0
105,105,"('Response', 'Disgust')","('Stimulus', 'Anticipation')",51172,7,6.400945894017496e-05,0.84,1.0
106,106,"('Response', 'Disgust')","('Stimulus', 'Arousal')",51172,7,0.000273876940862626,0.28,1.0
107,107,"('Response', 'Disgust')","('Stimulus', 'Disgust')",51172,7,3.3287771244048424e-05,0.35,1.0
108,108,"('Response', 'Disgust')","('Stimulus', 'Dominance')",51172,7,0.00020162146042949875,0.25,1.0
109,109,"('Response', 'Disgust')","('Stimulus', 'Fear')",51172,7,7.639976603964177e-05,0.64,1.0
110,110,"('Response', 'Disgust')","('Stimulus', 'Joy')",51172,7,4.909830991981627e-05,0.67,1.0
111,111,"('Response', 'Disgust')","('Stimulus', 'Sadness')",51172,7,7.864375066509832e-05,0.56,1.0
112,112,"('Response', 'Disgust')","('Stimulus', 'Surprise')",51172,7,3.643699212999023e-05,0.76,1.0
113,113,"('Response', 'Disgust')","('Stimulus', 'Trust')",51172,7,0.00014792496614564172,0.33,1.0
114,114,"('Response', 'Disgust')","('Stimulus', 'Valence')",51172,7,6.222179766787655e-05,0.55,1.0
115,115,"('Response', 'Dominance')","('Other', 'Unknown')",51172,7,0.0001088139247104996,0.48,1.0
116,116,"('Response', 'Dominance')","('Response', 'Anger')",51172,7,0.00011817652833905693,0.0,1.0
117,117,"('Response', 'Dominance')","('Response', 'Anticipation')",51172,7,0.00023404589176574165,0.0,1.0
118,118,"('Response', 'Dominance')","('Response', 'Arousal')",51172,7,0.00029766853025462673,0.0,1.0
119,119,"('Response', 'Dominance')","('Response', 'Disgust')",51172,7,5.32722972225121e-05,0.01,1.0
120,120,"('Response', 'Dominance')","('Response', 'Dominance')",51172,7,0.0,1.0,1.0
121,121,"('Response', 'Dominance')","('Response', 'Fear')",51172,7,0.0001071718197455536,0.02,1.0
122,122,"('Response', 'Dominance')","('Response', 'Joy')",51172,7,0.00011077281560519174,0.0,1.0
123,123,"('Response', 'Dominance')","('Response', 'Sadness')",51172,7,0.00011020546121819716,0.0,1.0
124,124,"('Response', 'Dominance')","('Response', 'Surprise')",51172,7,0.00020244637354047465,0.0,1.0
125,125,"('Response', 'Dominance')","('Response', 'Trust')",51172,7,9.450767976389884e-05,0.01,1.0
126,126,"('Response', 'Dominance')","('Response', 'Valence')",51172,7,0.00012189300499026286,0.11,1.0
127,127,"('Response', 'Dominance')","('Stimulus', 'Anger')",51172,7,0.00034714568233123376,0.71,1.0
128,128,"('Response', 'Dominance')","('Stimulus', 'Anticipation')",51172,7,0.0005213324029154071,0.79,0.9999999993569547
129,129,"('Response', 'Dominance')","('Stimulus', 'Arousal')",51172,7,0.001978894947904929,0.65,2.997268232796113e-05
130,130,"('Response', 'Dominance')","('Stimulus', 'Disgust')",51172,7,0.00013551767254190957,0.87,1.0
131,131,"('Response', 'Dominance')","('Stimulus', 'Dominance')",51172,7,0.0009653303341663876,0.73,0.9740871851424664
