,categ,entity_i,entity_pos,entity_root,entity_tag,entity_text,i,mention_pos,mention_root,mention_tag,mention_text,t0,t1
0,environment,0,PRON,it,PRP,It,120,PRON,it,PRP,It,120,173
1,environment,0,PRON,it,PRP,It,130,PRON,it,PRP,it,120,173
2,environment,1,NOUN,story,NN,my story,288,NOUN,story,NN,my story,284,297
3,environment,1,NOUN,story,NN,my story,297,PRON,it,PRP,It,297,320
4,person,2,PRON,we,PRP,we,508,PRON,we,PRP,we,497,535
5,person,2,PRON,we,PRP,we,519,PRON,ourselves,PRP,ourselves,497,535
6,person,2,PRON,we,PRP,we,532,DET,our,PRP$,our,497,535
7,person,2,PRON,we,PRP,we,539,PRON,us,PRP,us,535,546
8,person,3,NOUN,friends,NNS,my two friends,603,NOUN,friends,NNS,my two friends,593,633
9,person,3,NOUN,friends,NNS,my two friends,623,PRON,they,PRP,they,593,633
10,person,3,NOUN,friends,NNS,my two friends,629,DET,their,PRP$,their,593,633
11,environment,4,PROPN,england,NNP,England,668,PROPN,england,NNP,England,662,671
12,environment,4,PROPN,england,NNP,England,2031,PROPN,england,NNP,England,2027,2034
13,environment,4,PROPN,england,NNP,England,3543,PROPN,england,NNP,England,3539,3546
14,environment,4,PROPN,england,NNP,England,3580,PROPN,england,NNP,England,3576,3610
15,environment,4,PROPN,england,NNP,England,3586,DET,its,PRP$,its,3576,3610
16,environment,4,PROPN,england,NNP,England,3683,PROPN,england,NNP,England,3659,3717
17,environment,4,PROPN,england,NNP,England,3901,PROPN,england,NNP,England,3897,3904
18,environment,5,NOUN,dreams,NNS,my day dreams,808,NOUN,dreams,NNS,my day dreams,801,817
19,environment,5,NOUN,dreams,NNS,my day dreams,2433,NOUN,dreams,NNS,my day dreams,2422,2485
20,person,6,NOUN,pole,NN,the pole,825,NOUN,pole,NN,the pole,817,850
21,person,6,NOUN,pole,NN,the pole,835,PRON,it,PRP,it,817,850
22,person,6,NOUN,pole,NN,the pole,838,PRON,itself,PRP,itself,817,850
23,person,7,PROPN,margaret,NNP,Margaret,852,PROPN,margaret,NNP,Margaret,850,875
24,person,7,PROPN,margaret,NNP,Margaret,1985,PROPN,margaret,NNP,Margaret,1979,1987
25,person,7,PROPN,margaret,NNP,Margaret,2143,PROPN,margaret,NNP,Margaret,2138,2145
